361584.123902	 6279603.718778	  -2170.511776
361096.646528	 6283573.903384	  -2170.511776
360609.169154	 6287544.087991	  -2170.511776
360121.691781	 6291514.272597	  -2170.511776
359634.214407	 6295484.457204	  -2170.511776
359146.737034	 6299454.641810	  -2170.511776
358659.259660	 6303424.826417	  -2170.511776
358171.782286	 6307395.011024	  -2170.511776
357684.304913	 6311365.195630	  -2170.511776
363572.889527	 6279847.908492	  -5641.023552
363085.412153	 6283818.093098	  -5641.023552
362597.934780	 6287788.277705	  -5641.023552
362110.457406	 6291758.462311	  -5641.023552
361622.980032	 6295728.646918	  -5641.023552
361135.502659	 6299698.831524	  -5641.023552
360648.025285	 6303669.016131	  -5641.023552
360160.547912	 6307639.200738	  -5641.023552
359673.070538	 6311609.385344	  -5641.023552
365561.655152	 6280092.098206	  -9111.535327
365074.177779	 6284062.282812	  -9111.535327
364586.700405	 6288032.467419	  -9111.535327
364099.223031	 6292002.652025	  -9111.535327
363611.745658	 6295972.836632	  -9111.535327
363124.268284	 6299943.021239	  -9111.535327
362636.790910	 6303913.205845	  -9111.535327
362149.313537	 6307883.390452	  -9111.535327
361661.836163	 6311853.575058	  -9111.535327
367550.420777	 6280336.287920	 -12582.047103
367062.943404	 6284306.472526	 -12582.047103
366575.466030	 6288276.657133	 -12582.047103
366087.988657	 6292246.841739	 -12582.047103
365600.511283	 6296217.026346	 -12582.047103
365113.033909	 6300187.210953	 -12582.047103
364625.556536	 6304157.395559	 -12582.047103
364138.079162	 6308127.580166	 -12582.047103
363650.601789	 6312097.764772	 -12582.047103
363620.289606 6302014.884524 -10401.602576
365078.905132 6286579.754089 -9651.059954
364469.398905 6291542.685870 -9650.828167
363482.326550 6288939.989257 -7404.524902
