E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.029000,            0.027000,            0.028000,
       632624.900000,      4992041.000000,            0.049000,            0.016000,            0.028000,
       632953.500000,      4992215.000000,            0.365000,            0.439000,            0.400000,
       633123.400000,      4941256.000000,            0.004000,            0.012000,            0.007000,
       632952.100000,      4941581.000000,            0.058000,            0.045000,            0.051000,
       632624.900000,      4941256.000000,            0.006000,            0.005000,            0.005000,
       706906.700000,      4941754.000000,            0.005000,            0.002000,            0.003000,
       706578.100000,      4941580.000000,            0.046000,            0.044000,            0.045000,
       706906.700000,      4941256.000000,            0.003000,            0.003000,            0.003000,
       633487.400000,      4970631.000000,            0.199000,            0.253000,            0.224000,
       633487.400000,      4971129.000000,            0.205000,            0.271000,            0.235000,
       633056.200000,      4970880.000000,            0.284000,            0.330000,            0.306000,
       632624.900000,      4990548.000000,            0.029000,            0.034000,            0.031000,
       633071.000000,      4990807.000000,            0.424000,            0.521000,            0.470000,
       632624.900000,      4991045.000000,            0.030000,            0.029000,            0.029000,
       636075.100000,      4969635.000000,            0.247000,            0.373000,            0.304000,
       636075.100000,      4970132.000000,            0.249000,            0.416000,            0.322000,
       635643.800000,      4969884.000000,            0.245000,            0.337000,            0.287000,
       633505.000000,      4990053.000000,            0.370000,            0.338000,            0.354000,
       633954.400000,      4990293.000000,            0.526000,            0.351000,            0.430000,
       633524.500000,      4990561.000000,            0.373000,            0.419000,            0.395000,
       661041.600000,      4991676.000000,            0.206000,            0.949000,            0.442000,
       660792.300000,      4992107.000000,            0.343000,            1.657000,            0.753000,
       660543.100000,      4991676.000000,            0.252000,            0.942000,            0.487000,
       634868.600000,      4992108.000000,            0.474000,            0.462000,            0.468000,
       634368.900000,      4992108.000000,            0.500000,            0.485000,            0.492000,
       634614.500000,      4991680.000000,            0.341000,            0.268000,            0.303000,
       633056.200000,      4971876.000000,            0.403000,            0.349000,            0.375000,
       633056.200000,      4972374.000000,            0.397000,            0.350000,            0.373000,
       632624.900000,      4972125.000000,            0.029000,            0.007000,            0.014000,
       632624.900000,      4987062.000000,            0.035000,            0.071000,            0.050000,
       633056.200000,      4987311.000000,            0.618000,            0.239000,            0.384000,
       632624.900000,      4987560.000000,            0.040000,            0.061000,            0.049000,
       636364.100000,      4992107.000000,            0.461000,            0.647000,            0.546000,
       635865.500000,      4992107.000000,            0.512000,            0.615000,            0.561000,
       636114.900000,      4991676.000000,            0.331000,            0.330000,            0.330000,
       657303.200000,      4989517.000000,            0.344000,            0.808000,            0.527000,
       657801.700000,      4989517.000000,            0.327000,            0.834000,            0.522000,
       657552.300000,      4989949.000000,            0.305000,            0.828000,            0.502000,
       634781.100000,      4985816.000000,            0.437000,            0.361000,            0.397000,
       635212.200000,      4986065.000000,            0.618000,            0.516000,            0.565000,
       634781.000000,      4986314.000000,            0.662000,            0.357000,            0.486000,
       637361.100000,      4992107.000000,            0.619000,            0.525000,            0.570000,
       637610.500000,      4991676.000000,            0.371000,            0.405000,            0.388000,
       637859.700000,      4992107.000000,            0.601000,            0.501000,            0.549000,
       638358.200000,      4992107.000000,            0.639000,            0.397000,            0.503000,
       638109.100000,      4991676.000000,            0.492000,            0.459000,            0.475000,
       638607.600000,      4991676.000000,            0.496000,            0.423000,            0.458000,
       638856.700000,      4992107.000000,            0.698000,            0.398000,            0.527000,
       633487.400000,      4975112.000000,            0.385000,            0.414000,            0.399000,
       633487.400000,      4975610.000000,            0.557000,            0.446000,            0.498000,
       633056.200000,      4975362.000000,            0.505000,            0.408000,            0.454000,
       650323.000000,      4992107.000000,            0.540000,            0.886000,            0.692000,
       649824.500000,      4992107.000000,            0.529000,            0.838000,            0.666000,
       650073.900000,      4991676.000000,            0.527000,            0.465000,            0.495000,
       643343.800000,      4991244.000000,            0.348000,            0.485000,            0.411000,
       643094.400000,      4991676.000000,            0.436000,            0.399000,            0.417000,
       642845.200000,      4991244.000000,            0.357000,            0.447000,            0.400000,
       640103.500000,      4990812.000000,            0.523000,            0.531000,            0.527000,
       640352.900000,      4990381.000000,            0.506000,            0.537000,            0.521000,
       640602.000000,      4990812.000000,            0.436000,            0.526000,            0.479000,
       641349.400000,      4992107.000000,            0.703000,            0.559000,            0.627000,
       641598.800000,      4991676.000000,            0.453000,            0.667000,            0.550000,
       641847.900000,      4992107.000000,            0.734000,            0.597000,            0.662000,
       632624.900000,      4974117.000000,            0.034000,            0.013000,            0.021000,
       633056.200000,      4974366.000000,            0.484000,            0.398000,            0.439000,
       632624.900000,      4974615.000000,            0.040000,            0.015000,            0.025000,
       633487.400000,      4983079.000000,            0.356000,            0.355000,            0.356000,
       633056.200000,      4982830.000000,            0.394000,            0.525000,            0.455000,
       633487.400000,      4982581.000000,            0.339000,            0.554000,            0.433000,
       643842.100000,      4992107.000000,            0.634000,            0.687000,            0.660000,
       643343.500000,      4992107.000000,            0.674000,            0.671000,            0.673000,
       643592.900000,      4991676.000000,            0.428000,            0.449000,            0.438000,
       644590.200000,      4990812.000000,            0.405000,            0.521000,            0.460000,
       644091.700000,      4990812.000000,            0.387000,            0.475000,            0.429000,
