E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.028000,            0.025000,            0.027000,
       632624.900000,      4992041.000000,            0.053000,            0.017000,            0.030000,
       632953.500000,      4992215.000000,            0.375000,            0.376000,            0.375000,
       633123.400000,      4941256.000000,            0.004000,            0.012000,            0.007000,
       632952.100000,      4941581.000000,            0.088000,            0.051000,            0.067000,
       632624.900000,      4941256.000000,            0.004000,            0.004000,            0.004000,
       706906.700000,      4941754.000000,            0.005000,            0.003000,            0.004000,
       706578.100000,      4941580.000000,            0.059000,            0.031000,            0.043000,
       706906.700000,      4941256.000000,            0.002000,            0.002000,            0.002000,
       633487.400000,      4970631.000000,            0.206000,            0.334000,            0.263000,
       633487.400000,      4971129.000000,            0.247000,            0.267000,            0.257000,
       633056.200000,      4970880.000000,            0.213000,            0.310000,            0.257000,
       632624.900000,      4990548.000000,            0.033000,            0.039000,            0.036000,
       633071.000000,      4990807.000000,            0.743000,            0.523000,            0.623000,
       632624.900000,      4991045.000000,            0.040000,            0.036000,            0.038000,
       636075.100000,      4969635.000000,            0.254000,            0.350000,            0.298000,
       636075.100000,      4970132.000000,            0.279000,            0.422000,            0.343000,
       635643.800000,      4969884.000000,            0.221000,            0.308000,            0.261000,
       633505.000000,      4990053.000000,            0.323000,            0.361000,            0.342000,
       633954.400000,      4990293.000000,            0.541000,            0.475000,            0.507000,
       633524.500000,      4990561.000000,            0.648000,            0.615000,            0.632000,
       661041.600000,      4991676.000000,            0.443000,            1.390000,            0.784000,
       660792.300000,      4992107.000000,            0.402000,            1.829000,            0.857000,
       660543.100000,      4991676.000000,            0.431000,            1.295000,            0.747000,
       634868.600000,      4992108.000000,            0.546000,            0.442000,            0.491000,
       634368.900000,      4992108.000000,            0.571000,            0.439000,            0.501000,
       634614.500000,      4991680.000000,            0.465000,            0.323000,            0.388000,
       633056.200000,      4971876.000000,            0.263000,            0.319000,            0.290000,
       633056.200000,      4972374.000000,            0.266000,            0.339000,            0.300000,
       632624.900000,      4972125.000000,            0.040000,            0.011000,            0.020000,
       632624.900000,      4987062.000000,            0.060000,            0.141000,            0.092000,
       633056.200000,      4987311.000000,            0.346000,            0.381000,            0.363000,
       632624.900000,      4987560.000000,            0.070000,            0.098000,            0.083000,
       636364.100000,      4992107.000000,            0.518000,            0.523000,            0.520000,
       635865.500000,      4992107.000000,            0.455000,            0.501000,            0.477000,
       636114.900000,      4991676.000000,            0.251000,            0.397000,            0.316000,
       657303.200000,      4989517.000000,            0.621000,            1.336000,            0.911000,
       657801.700000,      4989517.000000,            0.642000,            1.377000,            0.940000,
       657552.300000,      4989949.000000,            0.695000,            1.308000,            0.954000,
       634781.100000,      4985816.000000,            0.536000,            0.528000,            0.532000,
       635212.200000,      4986065.000000,            0.461000,            0.692000,            0.565000,
       634781.000000,      4986314.000000,            0.481000,            0.627000,            0.549000,
       637361.100000,      4992107.000000,            0.477000,            0.581000,            0.527000,
       637610.500000,      4991676.000000,            0.429000,            0.446000,            0.437000,
       637859.700000,      4992107.000000,            0.458000,            0.590000,            0.520000,
       638358.200000,      4992107.000000,            0.583000,            0.662000,            0.622000,
       638109.100000,      4991676.000000,            0.403000,            0.415000,            0.409000,
       638607.600000,      4991676.000000,            0.505000,            0.472000,            0.488000,
       638856.700000,      4992107.000000,            0.463000,            0.674000,            0.559000,
       633487.400000,      4975112.000000,            0.311000,            0.374000,            0.341000,
       633487.400000,      4975610.000000,            0.412000,            0.479000,            0.444000,
       633056.200000,      4975362.000000,            0.345000,            0.423000,            0.382000,
       650323.000000,      4992107.000000,            0.388000,            1.007000,            0.625000,
       649824.500000,      4992107.000000,            0.399000,            1.011000,            0.635000,
       650073.900000,      4991676.000000,            0.536000,            0.632000,            0.582000,
       643343.800000,      4991244.000000,            0.501000,            0.781000,            0.625000,
       643094.400000,      4991676.000000,            0.554000,            0.626000,            0.589000,
       642845.200000,      4991244.000000,            0.454000,            1.037000,            0.686000,
       640103.500000,      4990812.000000,            0.603000,            0.463000,            0.528000,
       640352.900000,      4990381.000000,            0.499000,            0.463000,            0.481000,
       640602.000000,      4990812.000000,            0.682000,            0.483000,            0.574000,
       641349.400000,      4992107.000000,            0.469000,            1.021000,            0.692000,
       641598.800000,      4991676.000000,            0.578000,            1.142000,            0.813000,
       641847.900000,      4992107.000000,            0.439000,            0.841000,            0.608000,
       632624.900000,      4974117.000000,            0.029000,            0.017000,            0.022000,
       633056.200000,      4974366.000000,            0.349000,            0.502000,            0.418000,
       632624.900000,      4974615.000000,            0.033000,            0.016000,            0.023000,
       633487.400000,      4983079.000000,            0.693000,            0.701000,            0.697000,
       633056.200000,      4982830.000000,            0.540000,            0.422000,            0.478000,
       633487.400000,      4982581.000000,            0.679000,            0.551000,            0.611000,
       643842.100000,      4992107.000000,            0.524000,            0.829000,            0.659000,
       643343.500000,      4992107.000000,            0.503000,            0.832000,            0.647000,
       643592.900000,      4991676.000000,            0.583000,            0.586000,            0.584000,
       644590.200000,      4990812.000000,            0.591000,            0.743000,            0.663000,
       644091.700000,      4990812.000000,            0.532000,            0.702000,            0.611000,
       644341.100000,      4990381.000000,            0.631000,            1.030000,            0.806000,
       645337.700000,      4992107.000000,            0.645000,            0.747000,            0.694000,
       644839.100000,      4992107.000000,            0.607000,            0.790000,            0.692000,
       645088.500000,      4991676.000000,            0.677000,            0.676000,            0.676000,
       633056.200000,      4980838.000000,            0.537000,            0.605000,            0.570000,
       632624.900000,      4980590.000000,            0.100000,            0.058000,            0.076000,
       633056.200000,      4980340.000000,            0.505000,            0.552000,            0.528000,
       632624.900000,      4975611.000000,            0.057000,            0.018000,            0.032000,
       632624.900000,      4975113.000000,            0.055000,            0.016000,            0.030000,
       650821.800000,      4991244.000000,            0.542000,            0.711000,            0.621000,
       651320.300000,      4991244.000000,            0.539000,            0.739000,            0.631000,
       651070.900000,      4991676.000000,            0.530000,            0.706000,            0.612000,
       648329.300000,      4990381.000000,            0.607000,            0.803000,            0.698000,
       647830.800000,      4990381.000000,            0.610000,            0.766000,            0.684000,
       648080.200000,      4989949.000000,            0.720000,            0.735000,            0.727000,
       633056.200000,      4973370.000000,            0.428000,            0.466000,            0.447000,
       633056.200000,      4972872.000000,            0.313000,            0.421000,            0.363000,
       633487.400000,      4973121.000000,            0.344000,            0.506000,            0.418000,
       633487.400000,      4976108.000000,            0.744000,            0.389000,            0.538000,
       633487.400000,      4976606.000000,            0.803000,            0.349000,            0.529000,
       633056.200000,      4976357.000000,            0.761000,            0.330000,            0.501000,
       634349.900000,      4975112.000000,            0.430000,            0.447000,            0.438000,
       634349.900000,      4975610.000000,            0.591000,            0.502000,            0.545000,
       633918.700000,      4975361.000000,            0.344000,            0.396000,            0.369000,
       635212.500000,      4973120.000000,            0.299000,            0.619000,            0.430000,
       635212.500000,      4973618.000000,            0.207000,            0.489000,            0.318000,
       634781.200000,      4973369.000000,            0.277000,            0.556000,            0.393000,
       654809.800000,      4992107.000000,            0.615000,            0.945000,            0.762000,
       655059.200000,      4991676.000000,            0.591000,            0.780000,            0.679000,
       655308.400000,      4992107.000000,            0.607000,            0.980000,            0.771000,
       662288.100000,      4991244.000000,            0.239000,            1.240000,            0.545000,
       662786.600000,      4991244.000000,            0.217000,            1.109000,            0.491000,
       662537.200000,      4991676.000000,            0.319000,            1.328000,            0.650000,
       633918.700000,      4970382.000000,            0.160000,            0.239000,            0.196000,
       633918.700000,      4970880.000000,            0.194000,            0.279000,            0.233000,
       655557.700000,      4991676.000000,            0.583000,            0.786000,            0.677000,
       655806.900000,      4992107.000000,            0.587000,            1.012000,            0.770000,
       655558.200000,      4989949.000000,            0.586000,            1.028000,            0.776000,
       655807.600000,      4989517.000000,            0.610000,            1.112000,            0.824000,
       656056.700000,      4989949.000000,            0.600000,            1.121000,            0.820000,
       663783.500000,      4992107.000000,            0.313000,            0.803000,            0.501000,
       663534.100000,      4992539.000000,            0.016000,            0.172000,            0.052000,
       663284.900000,      4992107.000000,            0.268000,            1.022000,            0.523000,
       662537.000000,      4941256.000000,            0.010000,            0.049000,            0.022000,
       663035.600000,      4941256.000000,            0.013000,            0.060000,            0.028000,
       662786.200000,      4941687.000000,            0.293000,            0.489000,            0.379000,
       665279.100000,      4992107.000000,            0.395000,            0.661000,            0.511000,
       665029.700000,      4992539.000000,            0.016000,            0.133000,            0.046000,
       664780.600000,      4992107.000000,            0.378000,            0.621000,            0.484000,
       663034.200000,      4946436.000000,            0.104000,            0.203000,            0.145000,
       662784.700000,      4946868.000000,            0.147000,            0.263000,            0.197000,
       662535.600000,      4946436.000000,            0.118000,            0.206000,            0.156000,
       666774.700000,      4992107.000000,            0.392000,            0.667000,            0.511000,
       666525.300000,      4992539.000000,            0.013000,            0.119000,            0.040000,
       666276.200000,      4992107.000000,            0.403000,            0.688000,            0.526000,
       661042.600000,      4988222.000000,            0.358000,            2.108000,            0.869000,
       661291.900000,      4987791.000000,            0.349000,            2.181000,            0.872000,
       661541.100000,      4988222.000000,            0.400000,            2.136000,            0.925000,
       668270.300000,      4992107.000000,            0.357000,            0.572000,            0.452000,
       668020.900000,      4992539.000000,            0.009000,            0.094000,            0.029000,
       667771.800000,      4992107.000000,            0.375000,            0.582000,            0.467000,
       662538.200000,      4988222.000000,            0.369000,            1.880000,            0.833000,
       662787.600000,      4987791.000000,            0.352000,            1.811000,            0.799000,
       663036.700000,      4988222.000000,            0.345000,            1.655000,            0.756000,
       669765.900000,      4992107.000000,            0.278000,            0.513000,            0.377000,
       669516.500000,      4992539.000000,            0.011000,            0.085000,            0.030000,
       669267.400000,      4992107.000000,            0.276000,            0.527000,            0.382000,
       664033.800000,      4988222.000000,            0.314000,            1.266000,            0.631000,
