E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       691452.300000,      4991676.000000,            0.022000,            0.022000,            0.022000,            0.001000,            0.031000,
       691203.000000,      4992107.000000,            0.019000,            0.020000,            0.019000,            0.027000,            0.000000,
       690953.800000,      4991676.000000,            0.022000,            0.020000,            0.021000,            0.000000,            0.029000,
       685469.700000,      4992539.000000,            0.014000,            0.015000,            0.014000,            0.002000,            0.020000,
       683974.100000,      4992539.000000,            0.015000,            0.016000,            0.015000,            0.022000,            0.000000,
       683724.900000,      4992107.000000,            0.034000,            0.024000,            0.028000,            0.041000,            0.008000,
       686716.100000,      4992107.000000,            0.029000,            0.020000,            0.024000,            0.034000,            0.008000,
       687214.700000,      4992107.000000,            0.028000,            0.024000,            0.026000,            0.036000,            0.004000,
       686965.300000,      4992539.000000,            0.014000,            0.016000,            0.015000,            0.002000,            0.021000,
       705612.900000,      4962915.000000,            0.012000,            0.012000,            0.012000,            0.017000,            0.001000,
       706044.200000,      4963163.000000,            0.011000,            0.010000,            0.011000,            0.001000,            0.015000,
       682478.500000,      4941256.000000,            0.014000,            0.013000,            0.013000,            0.019000,            0.001000,
       682229.100000,      4941687.000000,            0.021000,            0.018000,            0.019000,            0.002000,            0.028000,
       681979.900000,      4941256.000000,            0.015000,            0.013000,            0.014000,            0.000000,            0.020000,
       704319.100000,      4964658.000000,            0.015000,            0.014000,            0.014000,            0.020000,            0.001000,
       704319.100000,      4964160.000000,            0.019000,            0.017000,            0.018000,            0.025000,            0.003000,
       681480.000000,      4946436.000000,            0.024000,            0.030000,            0.027000,            0.005000,            0.038000,
       681230.600000,      4946867.000000,            0.032000,            0.031000,            0.031000,            0.000000,            0.044000,
       680981.500000,      4946436.000000,            0.030000,            0.032000,            0.031000,            0.003000,            0.044000,
       684223.200000,      4941687.000000,            0.017000,            0.015000,            0.016000,            0.001000,            0.023000,
       683973.900000,      4942119.000000,            0.023000,            0.020000,            0.022000,            0.001000,            0.031000,
