E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       633056.200000,      4982830.000000,            0.610000,            0.501000,            0.553000,            0.051000,            0.787000,
       633487.400000,      4982581.000000,            0.810000,            0.378000,            0.554000,            0.277000,            0.850000,
       643842.100000,      4992107.000000,            1.107000,            0.956000,            1.029000,            1.455000,            0.155000,
       643343.500000,      4992107.000000,            0.997000,            1.137000,            1.065000,            1.512000,            0.049000,
       643592.900000,      4991676.000000,            0.980000,            1.275000,            1.117000,            1.600000,            0.156000,
       644590.200000,      4990812.000000,            1.017000,            1.239000,            1.123000,            0.210000,            1.590000,
       644091.700000,      4990812.000000,            0.970000,            0.853000,            0.910000,            1.286000,            0.125000,
       644341.100000,      4990381.000000,            1.127000,            1.223000,            1.174000,            0.123000,            1.658000,
       645337.700000,      4992107.000000,            1.502000,            0.709000,            1.032000,            1.544000,            0.612000,
       644839.100000,      4992107.000000,            1.382000,            0.755000,            1.021000,            1.495000,            0.493000,
       645088.500000,      4991676.000000,            1.293000,            1.250000,            1.271000,            0.029000,            1.798000,
       633056.200000,      4980838.000000,            0.743000,            0.848000,            0.794000,            1.127000,            0.037000,
       632624.900000,      4980590.000000,            0.674000,            0.311000,            0.458000,            0.234000,            0.704000,
       633056.200000,      4980340.000000,            0.914000,            1.108000,            1.007000,            0.184000,            1.425000,
       632624.900000,      4975611.000000,            0.619000,            0.265000,            0.405000,            0.230000,            0.633000,
       632624.900000,      4975113.000000,            0.531000,            0.356000,            0.435000,            0.623000,            0.144000,
       650821.800000,      4991244.000000,            0.884000,            0.897000,            0.890000,            1.259000,            0.033000,
       651320.300000,      4991244.000000,            0.910000,            0.964000,            0.937000,            0.082000,            1.323000,
       651070.900000,      4991676.000000,            0.679000,            1.257000,            0.924000,            1.382000,            0.363000,
       648329.300000,      4990381.000000,            0.845000,            1.494000,            1.124000,            1.668000,            0.404000,
       647830.800000,      4990381.000000,            0.892000,            1.315000,            1.083000,            0.351000,            1.550000,
       648080.200000,      4989949.000000,            0.999000,            1.101000,            1.049000,            0.121000,            1.482000,
       633056.200000,      4973370.000000,            0.594000,            1.260000,            0.866000,            0.514000,            1.295000,
       633056.200000,      4972872.000000,            0.417000,            0.901000,            0.613000,            0.373000,            0.920000,
       633487.400000,      4973121.000000,            0.383000,            1.916000,            0.856000,            1.137000,            1.589000,
       633487.400000,      4976108.000000,            0.694000,            0.512000,            0.596000,            0.101000,            0.857000,
       633487.400000,      4976606.000000,            0.911000,            0.704000,            0.801000,            1.137000,            0.184000,
       633056.200000,      4976357.000000,            0.687000,            0.507000,            0.590000,            0.839000,            0.155000,
       634349.900000,      4975112.000000,            0.404000,            0.726000,            0.542000,            0.254000,            0.791000,
       634349.900000,      4975610.000000,            0.627000,            0.690000,            0.658000,            0.932000,            0.014000,
       633918.700000,      4975361.000000,            0.381000,            0.687000,            0.512000,            0.241000,            0.748000,
       635212.500000,      4973120.000000,            0.504000,            1.462000,            0.858000,            1.411000,            0.631000,
       635212.500000,      4973618.000000,            0.496000,            1.101000,            0.739000,            0.465000,            1.114000,
       634781.200000,      4973369.000000,            0.522000,            1.254000,            0.809000,            0.559000,            1.238000,
       654809.800000,      4992107.000000,            1.279000,            1.393000,            1.335000,            1.891000,            0.018000,
       655059.200000,      4991676.000000,            1.113000,            1.309000,            1.207000,            0.195000,            1.707000,
       655308.400000,      4992107.000000,            1.348000,            1.439000,            1.392000,            1.971000,            0.001000,
       662288.100000,      4991244.000000,            0.378000,            1.713000,            0.805000,            1.509000,            0.894000,
       662786.600000,      4991244.000000,            0.430000,            1.689000,            0.852000,            0.939000,            1.468000,
       662537.200000,      4991676.000000,            0.655000,            2.085000,            1.168000,            1.970000,            0.947000,
       633918.700000,      4970382.000000,            0.384000,            0.428000,            0.405000,            0.050000,            0.573000,
       633918.700000,      4970880.000000,            0.456000,            0.447000,            0.451000,            0.638000,            0.027000,
       655557.700000,      4991676.000000,            1.058000,            1.170000,            1.112000,            0.131000,            1.572000,
       655806.900000,      4992107.000000,            1.377000,            1.570000,            1.470000,            2.087000,            0.068000,
       655558.200000,      4989949.000000,            0.988000,            0.912000,            0.950000,            1.341000,            0.098000,
       655807.600000,      4989517.000000,            1.190000,            0.968000,            1.073000,            0.106000,            1.531000,
       656056.700000,      4989949.000000,            1.036000,            1.027000,            1.032000,            1.458000,            0.055000,
       663783.500000,      4992107.000000,            0.445000,            1.733000,            0.878000,            0.961000,            1.509000,
       663534.100000,      4992539.000000,            0.201000,            0.478000,            0.310000,            0.486000,            0.180000,
       663284.900000,      4992107.000000,            0.416000,            2.215000,            0.959000,            1.902000,            1.210000,
       662537.000000,      4941256.000000,            0.138000,            0.269000,            0.192000,            0.290000,            0.083000,
       663035.600000,      4941256.000000,            0.181000,            0.389000,            0.265000,            0.408000,            0.133000,
       662786.200000,      4941687.000000,            0.655000,            1.127000,            0.860000,            1.271000,            0.292000,
       665279.100000,      4992107.000000,            0.588000,            1.511000,            0.942000,            0.701000,            1.461000,
       665029.700000,      4992539.000000,            0.200000,            0.530000,            0.326000,            0.524000,            0.216000,
       664780.600000,      4992107.000000,            0.566000,            1.543000,            0.935000,            0.739000,            1.468000,
       663034.200000,      4946436.000000,            0.151000,            0.425000,            0.254000,            0.414000,            0.180000,
       662784.700000,      4946868.000000,            0.203000,            0.636000,            0.359000,            0.603000,            0.287000,
       662535.600000,      4946436.000000,            0.193000,            0.549000,            0.326000,            0.533000,            0.234000,
       666774.700000,      4992107.000000,            0.774000,            1.336000,            1.017000,            0.447000,            1.478000,
       666525.300000,      4992539.000000,            0.155000,            0.753000,            0.341000,            0.444000,            0.627000,
       666276.200000,      4992107.000000,            0.687000,            1.531000,            1.025000,            0.648000,            1.547000,
       661042.600000,      4988222.000000,            1.818000,            2.206000,            2.003000,            2.853000,            0.180000,
       661291.900000,      4987791.000000,            1.392000,            2.675000,            1.930000,            2.904000,            0.811000,
       661541.100000,      4988222.000000,            1.295000,            2.406000,            1.765000,            0.872000,            2.590000,
       668270.300000,      4992107.000000,            1.094000,            1.313000,            1.198000,            1.706000,            0.099000,
       668020.900000,      4992539.000000,            0.168000,            0.818000,            0.371000,            0.712000,            0.436000,
       667771.800000,      4992107.000000,            1.007000,            1.265000,            1.129000,            0.236000,            1.600000,
       662538.200000,      4988222.000000,            0.598000,            2.419000,            1.203000,            1.358000,            2.089000,
       662787.600000,      4987791.000000,            0.553000,            2.828000,            1.250000,            2.443000,            1.529000,
       663036.700000,      4988222.000000,            0.409000,            2.132000,            0.934000,            1.277000,            1.756000,
