0.000000e+000	 0.000000e+000	 NaN	 NaN
5.000000e-002	 5.419565e-003	 6.326551e-003	 4.642606e-003
1.000000e-001	 2.431674e-002	 2.811876e-002	 2.102880e-002
1.500000e-001	 6.442727e-002	 7.469717e-002	 5.556936e-002
2.000000e-001	 1.284920e-001	 1.499802e-001	 1.100824e-001
2.500000e-001	 2.349546e-001	 2.894389e-001	 1.907265e-001
3.000000e-001	 3.216410e-001	 3.979319e-001	 2.599765e-001
3.500000e-001	 4.705279e-001	 5.943214e-001	 3.725198e-001
4.000000e-001	 6.063933e-001	 7.837312e-001	 4.691823e-001
4.500000e-001	 6.561628e-001	 8.610070e-001	 5.000536e-001
5.000000e-001	 7.120634e-001	 9.179657e-001	 5.523456e-001
5.500000e-001	 7.661937e-001	 9.880780e-001	 5.941360e-001
6.000000e-001	 9.193960e-001	 1.201717e+000	 7.034012e-001
6.500000e-001	 1.143506e+000	 1.511243e+000	 8.652524e-001
7.000000e-001	 1.454581e+000	 1.918309e+000	 1.102954e+000
7.500000e-001	 1.643746e+000	 2.150054e+000	 1.256667e+000
8.000000e-001	 1.724960e+000	 2.213666e+000	 1.344144e+000
8.500000e-001	 1.810349e+000	 2.186762e+000	 1.498728e+000
9.000000e-001	 1.842312e+000	 2.203063e+000	 1.540634e+000
9.500000e-001	 1.947069e+000	 2.447434e+000	 1.549002e+000
1.000000e+000	 2.027541e+000	 2.653452e+000	 1.549273e+000
1.050000e+000	 2.162741e+000	 2.829084e+000	 1.653344e+000
1.100000e+000	 2.309014e+000	 3.037685e+000	 1.755134e+000
1.150000e+000	 2.423960e+000	 3.201054e+000	 1.835515e+000
1.200000e+000	 2.511493e+000	 3.311494e+000	 1.904758e+000
1.250000e+000	 2.654759e+000	 3.498243e+000	 2.014653e+000
1.300000e+000	 2.898191e+000	 3.855727e+000	 2.178451e+000
1.350000e+000	 3.200215e+000	 4.302997e+000	 2.380056e+000
1.400000e+000	 3.443220e+000	 4.700320e+000	 2.522331e+000
1.450000e+000	 3.673302e+000	 5.071933e+000	 2.660357e+000
1.500000e+000	 3.892290e+000	 5.433149e+000	 2.788423e+000
1.550000e+000	 4.139997e+000	 5.899060e+000	 2.905476e+000
1.600000e+000	 4.366315e+000	 6.376872e+000	 2.989665e+000
1.650000e+000	 4.559535e+000	 6.796320e+000	 3.058914e+000
1.700000e+000	 4.757944e+000	 7.191041e+000	 3.148088e+000
1.750000e+000	 4.928937e+000	 7.555087e+000	 3.215638e+000
1.800000e+000	 5.091701e+000	 7.793769e+000	 3.326429e+000
1.850000e+000	 5.208309e+000	 7.827081e+000	 3.465722e+000
1.900000e+000	 5.234889e+000	 7.716460e+000	 3.551378e+000
1.950000e+000	 5.188001e+000	 7.556838e+000	 3.561722e+000
2.000000e+000	 5.122448e+000	 7.418558e+000	 3.537005e+000
2.050000e+000	 5.092393e+000	 7.328344e+000	 3.538653e+000
2.100000e+000	 5.127269e+000	 7.327027e+000	 3.587934e+000
2.150000e+000	 5.174381e+000	 7.353876e+000	 3.640832e+000
2.200000e+000	 5.223225e+000	 7.396876e+000	 3.688325e+000
2.250000e+000	 5.265390e+000	 7.447972e+000	 3.722401e+000
2.300000e+000	 5.273156e+000	 7.439012e+000	 3.737886e+000
2.350000e+000	 5.271501e+000	 7.404864e+000	 3.752765e+000
2.400000e+000	 5.236506e+000	 7.315856e+000	 3.748160e+000
2.450000e+000	 5.166961e+000	 7.202151e+000	 3.706876e+000
2.500000e+000	 5.060514e+000	 7.055233e+000	 3.629760e+000
2.550000e+000	 4.966485e+000	 6.894209e+000	 3.577782e+000
2.600000e+000	 4.877820e+000	 6.729189e+000	 3.535809e+000
2.650000e+000	 4.787893e+000	 6.591490e+000	 3.477805e+000
2.700000e+000	 4.718663e+000	 6.477493e+000	 3.437408e+000
2.750000e+000	 4.668845e+000	 6.381050e+000	 3.416070e+000
2.800000e+000	 4.639612e+000	 6.333942e+000	 3.398515e+000
2.850000e+000	 4.631399e+000	 6.332522e+000	 3.387254e+000
2.900000e+000	 4.633201e+000	 6.353446e+000	 3.378726e+000
2.950000e+000	 4.628483e+000	 6.368941e+000	 3.363645e+000
3.000000e+000	 4.623528e+000	 6.376831e+000	 3.352294e+000
3.050000e+000	 4.613702e+000	 6.377453e+000	 3.337735e+000
3.100000e+000	 4.612875e+000	 6.387273e+000	 3.331409e+000
3.150000e+000	 4.607992e+000	 6.389374e+000	 3.323266e+000
3.200000e+000	 4.597266e+000	 6.385190e+000	 3.309980e+000
3.250000e+000	 4.581556e+000	 6.376480e+000	 3.291888e+000
3.300000e+000	 4.564292e+000	 6.365540e+000	 3.272741e+000
3.350000e+000	 4.544942e+000	 6.352104e+000	 3.251914e+000
3.400000e+000	 4.527537e+000	 6.348182e+000	 3.229049e+000
3.450000e+000	 4.508535e+000	 6.343292e+000	 3.204470e+000
3.500000e+000	 4.482311e+000	 6.327987e+000	 3.174961e+000
3.550000e+000	 4.460019e+000	 6.326443e+000	 3.144227e+000
3.600000e+000	 4.443128e+000	 6.331092e+000	 3.118165e+000
3.650000e+000	 4.425212e+000	 6.331505e+000	 3.092868e+000
3.700000e+000	 4.405190e+000	 6.330763e+000	 3.065301e+000
3.750000e+000	 4.379362e+000	 6.320135e+000	 3.034557e+000
3.800000e+000	 4.357586e+000	 6.305037e+000	 3.011648e+000
3.850000e+000	 4.339891e+000	 6.287366e+000	 2.995635e+000
3.900000e+000	 4.321033e+000	 6.262028e+000	 2.981674e+000
3.950000e+000	 4.302078e+000	 6.235024e+000	 2.968373e+000
