Station Code,Monitor ID,Repi [km],E_UTM [m],N_UTM [m],LON [dd],LAT [dd],
MON2661, 2661, 2.680000e+01, 6.660482e+05, 4.499724e+06, 2.296300e+01, 4.063200e+01,
MON2662, 2662, 27, 6.655319e+05, 4.500800e+06, 2.295800e+01, 4.064100e+01,
MON2663, 2663, 2.710000e+01, 6.654064e+05, 4.501012e+06, 2.295600e+01, 4.064300e+01,
MON2664, 2664, 2.690000e+01, 6.656066e+05, 4.500911e+06, 2.295900e+01, 4.064200e+01,
MON2665, 2665, 27, 6.655351e+05, 4.500763e+06, 2.295800e+01, 4.064100e+01,
MON2666, 2666, 2.820000e+01, 6.644164e+05, 4.500412e+06, 2.294400e+01, 4.063800e+01,
MON2667, 2667, 27, 6.654596e+05, 4.500989e+06, 2.295700e+01, 4.064300e+01,
MON2668, 2668, 27, 6.655298e+05, 4.500842e+06, 2.295800e+01, 4.064200e+01,
MON2669, 2669, 2.690000e+01, 6.655581e+05, 4.500961e+06, 2.295800e+01, 4.064300e+01,
MON2670, 2670, 27, 6.656014e+05, 4.500778e+06, 2.295800e+01, 4.064100e+01,
MON2671, 2671, 2.680000e+01, 6.657597e+05, 4.500921e+06, 2.296000e+01, 4.064300e+01,
MON2672, 2672, 2.660000e+01, 6.658648e+05, 4.501124e+06, 2.296200e+01, 4.064400e+01,
MON2673, 2673, 2.690000e+01, 6.656681e+05, 4.500740e+06, 2.295900e+01, 4.064100e+01,
MON2674, 2674, 2.620000e+01, 6.668004e+05, 4.499553e+06, 2.297200e+01, 4.063000e+01,
MON2675, 2675, 2.680000e+01, 6.657189e+05, 4.501038e+06, 2.296000e+01, 4.064400e+01,
MON2676, 2676, 2.670000e+01, 6.657278e+05, 4.501093e+06, 2.296000e+01, 4.064400e+01,
MON2677, 2677, 2.770000e+01, 6.646433e+05, 4.501370e+06, 2.294700e+01, 4.064700e+01,
MON2678, 2678, 2.770000e+01, 6.647345e+05, 4.500935e+06, 2.294800e+01, 4.064300e+01,
MON2679, 2679, 2.820000e+01, 6.642039e+05, 4.501209e+06, 2.294200e+01, 4.064500e+01,
MON2680, 2680, 2.790000e+01, 6.645942e+05, 4.500808e+06, 2.294700e+01, 4.064200e+01,
MON2681, 2681, 2.870000e+01, 6.639877e+05, 4.500221e+06, 2.293900e+01, 4.063700e+01,
MON2682, 2682, 2.830000e+01, 6.644408e+05, 4.500068e+06, 2.294500e+01, 4.063500e+01,
MON2683, 2683, 2.850000e+01, 6.638744e+05, 4.501169e+06, 2.293800e+01, 4.064500e+01,
MON2684, 2684, 28, 6.645502e+05, 4.500644e+06, 2.294600e+01, 4.064000e+01,
MON2685, 2685, 2.870000e+01, 6.635952e+05, 4.501556e+06, 2.293500e+01, 4.064900e+01,
MON2686, 2686, 2.680000e+01, 6.657511e+05, 4.500677e+06, 2.296000e+01, 4.064000e+01,
MON2687, 2687, 2.790000e+01, 6.645856e+05, 4.500702e+06, 2.294600e+01, 4.064100e+01,
MON2688, 2688, 2.890000e+01, 6.635223e+05, 4.501014e+06, 2.293400e+01, 4.064400e+01,
MON2689, 2689, 2.740000e+01, 6.652173e+05, 4.500389e+06, 2.295400e+01, 4.063800e+01,
MON2690, 2690, 2.770000e+01, 6.647067e+05, 4.501244e+06, 2.294800e+01, 4.064600e+01,
MON2691, 2691, 2.720000e+01, 6.655022e+05, 4500386, 2.295700e+01, 4.063800e+01,
MON2692, 2692, 2.920000e+01, 6.632874e+05, 4.500638e+06, 2.293100e+01, 4.064000e+01,
MON2693, 2693, 2.690000e+01, 6.656483e+05, 4.500708e+06, 2.295900e+01, 4.064100e+01,
MON2694, 2694, 2.670000e+01, 6.658372e+05, 4.501010e+06, 2.296100e+01, 4.064300e+01,
