Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,82,33.6009,633056.2000,4980340.0000,999.0000,999.0000
PPE,83,32.6844,632624.9000,4975611.0000,999.0000,999.0000
PPE,84,32.5821,632624.9000,4975113.0000,999.0000,999.0000
PPE,85,26.4361,650821.8000,4991244.0000,999.0000,999.0000
PPE,86,26.1805,651320.3000,4991244.0000,999.0000,999.0000
PPE,87,26.6793,651070.9000,4991676.0000,999.0000,999.0000
PPE,88,27.1171,648329.3000,4990381.0000,999.0000,999.0000
PPE,89,27.4184,647830.8000,4990381.0000,999.0000,999.0000
PPE,90,26.9240,648080.2000,4989949.0000,999.0000,999.0000
PPE,91,31.8554,633056.2000,4973370.0000,999.0000,999.0000
PPE,92,31.7856,633056.2000,4972872.0000,999.0000,999.0000
PPE,93,31.3927,633487.4000,4973121.0000,999.0000,999.0000
PPE,94,31.9543,633487.4000,4976108.0000,999.0000,999.0000
PPE,95,32.0741,633487.4000,4976606.0000,999.0000,999.0000
PPE,96,32.4320,633056.2000,4976357.0000,999.0000,999.0000
PPE,97,30.8929,634349.9000,4975112.0000,999.0000,999.0000
PPE,98,31.0008,634349.9000,4975610.0000,999.0000,999.0000
PPE,99,31.3670,633918.7000,4975361.0000,999.0000,999.0000
PPE,100,29.6859,635212.5000,4973120.0000,999.0000,999.0000
PPE,101,29.7648,635212.5000,4973618.0000,999.0000,999.0000
PPE,102,30.1503,634781.2000,4973369.0000,999.0000,999.0000
PPE,103,25.3952,654809.8000,4992107.0000,999.0000,999.0000
PPE,104,24.9015,655059.2000,4991676.0000,999.0000,999.0000
PPE,105,25.2079,655308.4000,4992107.0000,999.0000,999.0000
PPE,106,22.6994,662288.1000,4991244.0000,999.0000,999.0000
PPE,107,22.6549,662786.6000,4991244.0000,999.0000,999.0000
PPE,108,23.1061,662537.2000,4991676.0000,999.0000,999.0000
PPE,109,30.6910,633918.7000,4970382.0000,999.0000,999.0000
PPE,110,30.7230,633918.7000,4970880.0000,999.0000,999.0000
PPE,111,24.7156,655557.7000,4991676.0000,999.0000,999.0000
PPE,112,25.0292,655806.9000,4992107.0000,999.0000,999.0000
PPE,113,23.1156,655558.2000,4989949.0000,999.0000,999.0000
PPE,114,22.6207,655807.6000,4989517.0000,999.0000,999.0000
PPE,115,22.9261,656056.7000,4989949.0000,999.0000,999.0000
PPE,116,23.4612,663783.5000,4992107.0000,999.0000,999.0000
PPE,117,23.9024,663534.1000,4992539.0000,999.0000,999.0000
PPE,118,23.4830,663284.9000,4992107.0000,999.0000,999.0000
PPE,119,27.4774,662537.0000,4941256.0000,999.0000,999.0000
PPE,120,27.4451,663035.6000,4941256.0000,999.0000,999.0000
PPE,121,27.0300,662786.2000,4941687.0000,999.0000,999.0000
PPE,122,23.4593,665279.1000,4992107.0000,999.0000,999.0000
PPE,123,23.8849,665029.7000,4992539.0000,999.0000,999.0000
PPE,124,23.4493,664780.6000,4992107.0000,999.0000,999.0000
PPE,125,22.2751,663034.2000,4946436.0000,999.0000,999.0000
PPE,126,21.8630,662784.7000,4946868.0000,999.0000,999.0000
PPE,127,22.3148,662535.6000,4946436.0000,999.0000,999.0000
PPE,128,23.5525,666774.7000,4992107.0000,999.0000,999.0000
PPE,129,23.9609,666525.3000,4992539.0000,999.0000,999.0000
PPE,130,23.5109,666276.2000,4992107.0000,999.0000,999.0000
PPE,131,19.8772,661042.6000,4988222.0000,999.0000,999.0000
PPE,132,19.4096,661291.9000,4987791.0000,999.0000,999.0000
PPE,133,19.7951,661541.1000,4988222.0000,999.0000,999.0000
PPE,134,23.7398,668270.3000,4992107.0000,999.0000,999.0000
PPE,135,24.1296,668020.9000,4992539.0000,999.0000,999.0000
PPE,136,23.6671,667771.8000,4992107.0000,999.0000,999.0000
