E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       633487.400000,      4973121.000000,            0.329000,            1.109000,            0.604000,
       633487.400000,      4976108.000000,            0.948000,            0.569000,            0.735000,
       633487.400000,      4976606.000000,            1.342000,            0.646000,            0.931000,
       633056.200000,      4976357.000000,            0.795000,            0.489000,            0.623000,
       634349.900000,      4975112.000000,            0.556000,            0.629000,            0.591000,
       634349.900000,      4975610.000000,            0.647000,            0.687000,            0.667000,
       633918.700000,      4975361.000000,            0.511000,            0.651000,            0.577000,
       635212.500000,      4973120.000000,            0.394000,            1.148000,            0.673000,
       635212.500000,      4973618.000000,            0.310000,            0.831000,            0.508000,
       634781.200000,      4973369.000000,            0.400000,            0.873000,            0.591000,
       654809.800000,      4992107.000000,            1.021000,            1.765000,            1.343000,
       655059.200000,      4991676.000000,            0.815000,            1.551000,            1.124000,
       655308.400000,      4992107.000000,            1.086000,            1.896000,            1.435000,
       662288.100000,      4991244.000000,            0.318000,            2.339000,            0.862000,
       662786.600000,      4991244.000000,            0.248000,            2.191000,            0.738000,
       662537.200000,      4991676.000000,            0.347000,            2.531000,            0.937000,
       633918.700000,      4970382.000000,            0.269000,            0.281000,            0.275000,
       633918.700000,      4970880.000000,            0.342000,            0.310000,            0.325000,
       655557.700000,      4991676.000000,            0.811000,            1.406000,            1.068000,
       655806.900000,      4992107.000000,            1.057000,            1.969000,            1.442000,
       655558.200000,      4989949.000000,            0.868000,            1.511000,            1.145000,
       655807.600000,      4989517.000000,            1.036000,            1.846000,            1.383000,
       656056.700000,      4989949.000000,            0.873000,            1.520000,            1.152000,
       663783.500000,      4992107.000000,            0.405000,            1.601000,            0.805000,
       663534.100000,      4992539.000000,            0.026000,            0.246000,            0.081000,
       663284.900000,      4992107.000000,            0.327000,            1.916000,            0.791000,
       662537.000000,      4941256.000000,            0.030000,            0.101000,            0.055000,
       663035.600000,      4941256.000000,            0.019000,            0.122000,            0.049000,
       662786.200000,      4941687.000000,            0.516000,            0.974000,            0.709000,
       665279.100000,      4992107.000000,            0.617000,            1.521000,            0.969000,
       665029.700000,      4992539.000000,            0.027000,            0.236000,            0.079000,
       664780.600000,      4992107.000000,            0.559000,            1.356000,            0.871000,
       663034.200000,      4946436.000000,            0.140000,            0.250000,            0.187000,
       662784.700000,      4946868.000000,            0.176000,            0.352000,            0.249000,
       662535.600000,      4946436.000000,            0.156000,            0.296000,            0.215000,
       666774.700000,      4992107.000000,            0.714000,            1.491000,            1.032000,
       666525.300000,      4992539.000000,            0.044000,            0.253000,            0.106000,
       666276.200000,      4992107.000000,            0.665000,            1.670000,            1.054000,
       661042.600000,      4988222.000000,            0.800000,            3.157000,            1.589000,
       661291.900000,      4987791.000000,            0.701000,            3.437000,            1.552000,
       661541.100000,      4988222.000000,            0.779000,            3.317000,            1.607000,
       668270.300000,      4992107.000000,            0.737000,            1.068000,            0.887000,
       668020.900000,      4992539.000000,            0.022000,            0.196000,            0.065000,
       667771.800000,      4992107.000000,            0.695000,            1.133000,            0.888000,
       662538.200000,      4988222.000000,            0.528000,            3.162000,            1.292000,
       662787.600000,      4987791.000000,            0.485000,            3.280000,            1.261000,
       663036.700000,      4988222.000000,            0.439000,            2.811000,            1.111000,
       669765.900000,      4992107.000000,            0.654000,            0.952000,            0.789000,
       669516.500000,      4992539.000000,            0.024000,            0.160000,            0.062000,
       669267.400000,      4992107.000000,            0.566000,            0.953000,            0.734000,
       664033.800000,      4988222.000000,            0.404000,            1.994000,            0.898000,
       664283.200000,      4987791.000000,            0.411000,            1.796000,            0.859000,
       664532.300000,      4988222.000000,            0.380000,            1.821000,            0.832000,
       671261.500000,      4992107.000000,            0.586000,            1.046000,            0.783000,
       671012.200000,      4992539.000000,            0.054000,            0.155000,            0.091000,
       670763.000000,      4992107.000000,            0.573000,            1.003000,            0.758000,
       665529.400000,      4988222.000000,            0.359000,            1.448000,            0.721000,
       665778.800000,      4987791.000000,            0.376000,            1.601000,            0.776000,
       666027.900000,      4988222.000000,            0.335000,            1.304000,            0.661000,
       672757.100000,      4992107.000000,            0.568000,            0.867000,            0.702000,
       672507.800000,      4992539.000000,            0.035000,            0.156000,            0.074000,
       672258.600000,      4992107.000000,            0.524000,            0.959000,            0.709000,
       667025.000000,      4988222.000000,            0.325000,            1.587000,            0.718000,
       667274.400000,      4987791.000000,            0.406000,            1.524000,            0.787000,
       667523.500000,      4988222.000000,            0.406000,            1.525000,            0.786000,
       674252.700000,      4992107.000000,            0.534000,            0.753000,            0.634000,
       674003.400000,      4992539.000000,            0.040000,            0.167000,            0.081000,
       673754.200000,      4992107.000000,            0.513000,            0.757000,            0.623000,
       668520.600000,      4988222.000000,            0.429000,            1.374000,            0.767000,
       668770.000000,      4987791.000000,            0.447000,            1.360000,            0.779000,
       669019.100000,      4988222.000000,            0.533000,            1.184000,            0.795000,
       675748.300000,      4992107.000000,            0.452000,            0.776000,            0.592000,
       675499.000000,      4992539.000000,            0.031000,            0.194000,            0.077000,
       675249.800000,      4992107.000000,            0.457000,            0.745000,            0.584000,
       670016.200000,      4988222.000000,            0.427000,            0.946000,            0.635000,
       670265.600000,      4987791.000000,            0.450000,            1.172000,            0.726000,
       670514.700000,      4988222.000000,            0.455000,            1.048000,            0.690000,
       677243.900000,      4992107.000000,            0.450000,            0.965000,            0.659000,
       676994.600000,      4992539.000000,            0.026000,            0.163000,            0.066000,
       676745.400000,      4992107.000000,            0.433000,            0.847000,            0.605000,
       671511.800000,      4988222.000000,            0.671000,            1.009000,            0.823000,
       671761.200000,      4987791.000000,            0.605000,            1.032000,            0.791000,
       672010.300000,      4988222.000000,            0.676000,            0.738000,            0.706000,
       678739.600000,      4992107.000000,            0.485000,            0.841000,            0.639000,
       678490.200000,      4992539.000000,            0.022000,            0.095000,            0.046000,
       678241.000000,      4992107.000000,            0.451000,            0.873000,            0.627000,
       677493.100000,      4941256.000000,            0.017000,            0.103000,            0.041000,
       677991.700000,      4941256.000000,            0.019000,            0.098000,            0.043000,
       677742.300000,      4941687.000000,            0.426000,            0.568000,            0.492000,
       676993.200000,      4946436.000000,            0.249000,            0.498000,            0.352000,
       676743.800000,      4946868.000000,            0.258000,            0.421000,            0.330000,
       676494.700000,      4946436.000000,            0.285000,            0.633000,            0.425000,
       674502.800000,      4989086.000000,            0.570000,            0.586000,            0.578000,
       674752.200000,      4988654.000000,            0.711000,            0.744000,            0.728000,
       675001.300000,      4989086.000000,            0.502000,            0.483000,            0.492000,
       681232.200000,      4992107.000000,            0.563000,            0.587000,            0.575000,
       681730.800000,      4992107.000000,            0.563000,            0.529000,            0.546000,
       681481.400000,      4992539.000000,            0.030000,            0.091000,            0.053000,
       675998.700000,      4988222.000000,            0.567000,            0.625000,            0.595000,
       676248.100000,      4987791.000000,            0.754000,            0.716000,            0.735000,
       676497.200000,      4988222.000000,            0.622000,            0.554000,            0.587000,
       683226.400000,      4992107.000000,            0.470000,            0.382000,            0.424000,
       682977.000000,      4992539.000000,            0.030000,            0.124000,            0.061000,
       682727.800000,      4992107.000000,            0.520000,            0.446000,            0.482000,
       677494.300000,      4988222.000000,            0.590000,            0.457000,            0.519000,
       677743.700000,      4987791.000000,            0.476000,            0.421000,            0.447000,
       677992.800000,      4988222.000000,            0.559000,            0.421000,            0.485000,
       705612.900000,      4963910.000000,            0.165000,            0.131000,            0.147000,
       705612.900000,      4963412.000000,            0.143000,            0.084000,            0.110000,
       706044.200000,      4963661.000000,            0.110000,            0.125000,            0.117000,
       704750.400000,      4964409.000000,            0.163000,            0.095000,            0.124000,
       704750.400000,      4963911.000000,            0.175000,            0.085000,            0.122000,
       705181.700000,      4964160.000000,            0.164000,            0.143000,            0.153000,
       685719.100000,      4992107.000000,            0.513000,            0.434000,            0.472000,
       686217.600000,      4992107.000000,            0.557000,            0.426000,            0.487000,
       685968.200000,      4992539.000000,            0.033000,            0.111000,            0.061000,
       688711.100000,      4989517.000000,            0.592000,            0.383000,            0.476000,
       688461.600000,      4989949.000000,            0.742000,            0.498000,            0.608000,
       688212.500000,      4989517.000000,            0.565000,            0.386000,            0.467000,
       683475.600000,      4992539.000000,            0.066000,            0.139000,            0.096000,
       690455.500000,      4990812.000000,            0.301000,            0.240000,            0.269000,
       690206.100000,      4991244.000000,            0.424000,            0.185000,            0.280000,
       689957.000000,      4990812.000000,            0.362000,            0.226000,            0.286000,
       706044.200000,      4980590.000000,            0.379000,            0.253000,            0.310000,
       706475.500000,      4980839.000000,            0.390000,            0.268000,            0.324000,
       706044.200000,      4981088.000000,            0.285000,            0.138000,            0.198000,
       689458.000000,      4992539.000000,            0.061000,            0.089000,            0.074000,
       689707.300000,      4992107.000000,            0.323000,            0.334000,            0.328000,
       689956.500000,      4992539.000000,            0.021000,            0.094000,            0.045000,
       696687.500000,      4990381.000000,            0.204000,            0.286000,            0.242000,
       697186.000000,      4990381.000000,            0.186000,            0.326000,            0.247000,
       696936.600000,      4990812.000000,            0.230000,            0.335000,            0.277000,
       695689.800000,      4992107.000000,            0.479000,            0.301000,            0.380000,
       695440.400000,      4992539.000000,            0.025000,            0.057000,            0.038000,
       695191.300000,      4992107.000000,            0.384000,            0.280000,            0.328000,
       693447.100000,      4989949.000000,            0.206000,            0.270000,            0.236000,
       692948.500000,      4989949.000000,            0.225000,            0.313000,            0.265000,
       693198.000000,      4989517.000000,            0.243000,            0.283000,            0.262000,
       695690.700000,      4989517.000000,            0.209000,            0.200000,            0.204000,
       696189.300000,      4989517.000000,            0.224000,            0.206000,            0.214000,
       695939.800000,      4989949.000000,            0.232000,            0.241000,            0.236000,
       688959.400000,      4992539.000000,            0.027000,            0.085000,            0.048000,
       689208.800000,      4992107.000000,            0.316000,            0.393000,            0.352000,
       688460.900000,      4992539.000000,            0.021000,            0.085000,            0.042000,
       688710.300000,      4992107.000000,            0.441000,            0.416000,            0.428000,
       706044.200000,      4973121.000000,            0.225000,            0.117000,            0.162000,
       706044.200000,      4972623.000000,            0.313000,            0.119000,            0.193000,
       706475.500000,      4972872.000000,            0.244000,            0.149000,            0.191000,
       706044.200000,      4972126.000000,            0.315000,            0.105000,            0.182000,
       706475.500000,      4972374.000000,            0.275000,            0.130000,            0.189000,
       691452.300000,      4991676.000000,            0.388000,            0.274000,            0.326000,
       691203.000000,      4992107.000000,            0.352000,            0.248000,            0.295000,
       690953.800000,      4991676.000000,            0.374000,            0.301000,            0.335000,
       685469.700000,      4992539.000000,            0.031000,            0.101000,            0.056000,
       683974.100000,      4992539.000000,            0.036000,            0.110000,            0.062000,
       683724.900000,      4992107.000000,            0.448000,            0.387000,            0.416000,
       686716.100000,      4992107.000000,            0.605000,            0.421000,            0.505000,
       687214.700000,      4992107.000000,            0.607000,            0.391000,            0.487000,
       686965.300000,      4992539.000000,            0.024000,            0.096000,            0.048000,
       705612.900000,      4962915.000000,            0.145000,            0.094000,            0.117000,
       706044.200000,      4963163.000000,            0.092000,            0.102000,            0.097000,
       682478.500000,      4941256.000000,            0.009000,            0.038000,            0.018000,
       682229.100000,      4941687.000000,            0.483000,            0.341000,            0.406000,
       681979.900000,      4941256.000000,            0.017000,            0.027000,            0.021000,
       704319.100000,      4964658.000000,            0.166000,            0.134000,            0.149000,
       704319.100000,      4964160.000000,            0.192000,            0.093000,            0.134000,
       681480.000000,      4946436.000000,            0.235000,            0.303000,            0.267000,
       681230.600000,      4946867.000000,            0.453000,            0.242000,            0.331000,
       680981.500000,      4946436.000000,            0.220000,            0.317000,            0.264000,
       684223.200000,      4941687.000000,            0.286000,            0.323000,            0.304000,
       683973.900000,      4942119.000000,            0.183000,            0.147000,            0.164000,
       683724.700000,      4941687.000000,            0.265000,            0.305000,            0.284000,
       684721.800000,      4941687.000000,            0.266000,            0.239000,            0.252000,
       684472.400000,      4942119.000000,            0.197000,            0.111000,            0.148000,
       685220.300000,      4941687.000000,            0.239000,            0.203000,            0.220000,
       684971.000000,      4942119.000000,            0.162000,            0.094000,            0.124000,
       685718.900000,      4941687.000000,            0.222000,            0.179000,            0.199000,
       685469.500000,      4942119.000000,            0.170000,            0.093000,            0.126000,
       686466.800000,      4941256.000000,            0.032000,            0.031000,            0.031000,
       686217.400000,      4941687.000000,            0.209000,            0.202000,            0.205000,
       685968.200000,      4941256.000000,            0.015000,            0.030000,            0.021000,
       686965.300000,      4941256.000000,            0.026000,            0.033000,            0.029000,
       686715.900000,      4941687.000000,            0.174000,            0.174000,            0.174000,
       687463.800000,      4941256.000000,            0.007000,            0.026000,            0.014000,
       687214.500000,      4941687.000000,            0.175000,            0.161000,            0.168000,
       687962.400000,      4941256.000000,            0.006000,            0.031000,            0.014000,
       687713.000000,      4941687.000000,            0.153000,            0.149000,            0.151000,
       688460.900000,      4941256.000000,            0.007000,            0.032000,            0.015000,
       688211.500000,      4941687.000000,            0.170000,            0.138000,            0.153000,
       706044.200000,      4958682.000000,            0.149000,            0.186000,            0.167000,
       706044.200000,      4958184.000000,            0.149000,            0.121000,            0.134000,
       706475.500000,      4958433.000000,            0.187000,            0.127000,            0.154000,
       689458.000000,      4941256.000000,            0.007000,            0.031000,            0.015000,
       689208.600000,      4941687.000000,            0.196000,            0.227000,            0.211000,
       688959.400000,      4941256.000000,            0.028000,            0.027000,            0.027000,
       689956.500000,      4941256.000000,            0.008000,            0.036000,            0.017000,
       689707.100000,      4941687.000000,            0.158000,            0.233000,            0.192000,
       706475.500000,      4960425.000000,            0.145000,            0.158000,            0.151000,
       706475.500000,      4960923.000000,            0.143000,            0.145000,            0.144000,
       706044.200000,      4960674.000000,            0.130000,            0.106000,            0.118000,
       690205.700000,      4941687.000000,            0.158000,            0.229000,            0.190000,
       690704.200000,      4941687.000000,            0.192000,            0.225000,            0.208000,
       690454.800000,      4942119.000000,            0.188000,            0.122000,            0.151000,
       706906.700000,      4960176.000000,            0.030000,            0.011000,            0.019000,
       706906.700000,      4960674.000000,            0.033000,            0.007000,            0.015000,
       706906.700000,      4959678.000000,            0.037000,            0.022000,            0.029000,
       706475.500000,      4959927.000000,            0.143000,            0.151000,            0.147000,
       706906.700000,      4959180.000000,            0.027000,            0.011000,            0.017000,
       706475.500000,      4959429.000000,            0.162000,            0.113000,            0.135000,
       706475.500000,      4958931.000000,            0.129000,            0.144000,            0.137000,
       706906.700000,      4958682.000000,            0.025000,            0.015000,            0.019000,
       706906.700000,      4958184.000000,            0.026000,            0.008000,            0.014000,
       693196.900000,      4941687.000000,            0.127000,            0.122000,            0.124000,
       693695.400000,      4941687.000000,            0.132000,            0.100000,            0.115000,
       693446.000000,      4942119.000000,            0.127000,            0.118000,            0.122000,
       693446.300000,      4941256.000000,            0.025000,            0.031000,            0.028000,
       693944.800000,      4941256.000000,            0.006000,            0.031000,            0.014000,
       694443.300000,      4941256.000000,            0.006000,            0.029000,            0.013000,
       694194.000000,      4941687.000000,            0.141000,            0.098000,            0.117000,
       694941.900000,      4941256.000000,            0.010000,            0.029000,            0.017000,
       694692.500000,      4941687.000000,            0.142000,            0.115000,            0.128000,
       694941.400000,      4942982.000000,            0.093000,            0.114000,            0.103000,
       695439.900000,      4942982.000000,            0.101000,            0.118000,            0.109000,
       695190.500000,      4943414.000000,            0.099000,            0.129000,            0.113000,
       695191.000000,      4941687.000000,            0.125000,            0.144000,            0.134000,
       695689.600000,      4941687.000000,            0.119000,            0.154000,            0.136000,
       695440.200000,      4942119.000000,            0.090000,            0.146000,            0.115000,
       696188.100000,      4941687.000000,            0.118000,            0.145000,            0.131000,
       695938.700000,      4942119.000000,            0.079000,            0.128000,            0.101000,
       705612.900000,      4951463.000000,            0.102000,            0.147000,            0.122000,
       705612.900000,      4950965.000000,            0.117000,            0.126000,            0.122000,
       706044.200000,      4951214.000000,            0.071000,            0.096000,            0.083000,
       696437.500000,      4941256.000000,            0.008000,            0.025000,            0.014000,
       696936.000000,      4941256.000000,            0.009000,            0.027000,            0.015000,
       696686.600000,      4941687.000000,            0.112000,            0.111000,            0.112000,
       706044.200000,      4950218.000000,            0.077000,            0.104000,            0.089000,
       706044.200000,      4949720.000000,            0.097000,            0.083000,            0.090000,
       706475.500000,      4949969.000000,            0.091000,            0.088000,            0.089000,
       697185.200000,      4941687.000000,            0.102000,            0.114000,            0.108000,
       697683.700000,      4941687.000000,            0.076000,            0.108000,            0.090000,
       697434.300000,      4942119.000000,            0.065000,            0.062000,            0.064000,
       698182.200000,      4941687.000000,            0.070000,            0.095000,            0.082000,
       697932.800000,      4942119.000000,            0.076000,            0.072000,            0.074000,
       706906.700000,      4952209.000000,            0.037000,            0.039000,            0.038000,
       706906.700000,      4952707.000000,            0.030000,            0.031000,            0.031000,
       706475.500000,      4952458.000000,            0.112000,            0.125000,            0.118000,
       698930.200000,      4941256.000000,            0.012000,            0.015000,            0.013000,
       698680.800000,      4941687.000000,            0.073000,            0.114000,            0.091000,
       698431.600000,      4941256.000000,            0.009000,            0.015000,            0.012000,
       706475.500000,      4950965.000000,            0.116000,            0.105000,            0.111000,
       706475.500000,      4951463.000000,            0.077000,            0.103000,            0.089000,
       699677.600000,      4942551.000000,            0.083000,            0.154000,            0.113000,
       699428.200000,      4942982.000000,            0.075000,            0.168000,            0.112000,
       699179.000000,      4942551.000000,            0.074000,            0.147000,            0.104000,
       706906.700000,      4951214.000000,            0.025000,            0.043000,            0.033000,
       706906.700000,      4950716.000000,            0.030000,            0.041000,            0.035000,
       700425.800000,      4941256.000000,            0.007000,            0.020000,            0.012000,
       700176.400000,      4941687.000000,            0.098000,            0.128000,            0.112000,
       699927.200000,      4941256.000000,            0.007000,            0.017000,            0.011000,
       706906.700000,      4949720.000000,            0.033000,            0.037000,            0.035000,
       706475.500000,      4949471.000000,            0.146000,            0.106000,            0.124000,
       706906.700000,      4949222.000000,            0.032000,            0.038000,            0.035000,
       701173.200000,      4942551.000000,            0.058000,            0.057000,            0.058000,
       700923.700000,      4942982.000000,            0.064000,            0.113000,            0.085000,
       700674.600000,      4942551.000000,            0.078000,            0.065000,            0.071000,
       701422.800000,      4941256.000000,            0.007000,            0.020000,            0.012000,
       701173.400000,      4941687.000000,            0.066000,            0.169000,            0.105000,
       700924.300000,      4941256.000000,            0.007000,            0.021000,            0.012000,
       705612.600000,      4945987.000000,            0.050000,            0.174000,            0.093000,
       706044.100000,      4946235.000000,            0.060000,            0.144000,            0.093000,
       705612.900000,      4946484.000000,            0.065000,            0.132000,            0.093000,
       702170.500000,      4941687.000000,            0.083000,            0.142000,            0.109000,
       701921.100000,      4942119.000000,            0.076000,            0.089000,            0.082000,
       701672.000000,      4941687.000000,            0.078000,            0.143000,            0.106000,
       702669.000000,      4941687.000000,            0.114000,            0.128000,            0.121000,
       702419.600000,      4942119.000000,            0.086000,            0.069000,            0.077000,
       706475.500000,      4947480.000000,            0.120000,            0.171000,            0.143000,
       706044.200000,      4947231.000000,            0.105000,            0.115000,            0.110000,
       706475.500000,      4946982.000000,            0.110000,            0.157000,            0.131000,
       703167.600000,      4941687.000000,            0.078000,            0.095000,            0.086000,
       702918.200000,      4942119.000000,            0.097000,            0.085000,            0.091000,
       702918.400000,      4941256.000000,            0.019000,            0.026000,            0.022000,
       703417.000000,      4941256.000000,            0.007000,            0.026000,            0.014000,
       706475.500000,      4946484.000000,            0.060000,            0.204000,            0.111000,
       706475.400000,      4945986.000000,            0.072000,            0.128000,            0.096000,
       706906.700000,      4946732.000000,            0.032000,            0.038000,            0.035000,
       706906.700000,      4946235.000000,            0.031000,            0.037000,            0.034000,
       705604.900000,      4944493.000000,            0.074000,            0.145000,            0.103000,
       705165.500000,      4944246.000000,            0.091000,            0.229000,            0.145000,
       705595.700000,      4943995.000000,            0.063000,            0.248000,            0.125000,
       706906.700000,      4945737.000000,            0.035000,            0.035000,            0.035000,
       704663.000000,      4941687.000000,            0.103000,            0.091000,            0.097000,
       705162.700000,      4941687.000000,            0.134000,            0.083000,            0.105000,
       704917.200000,      4942115.000000,            0.065000,            0.084000,            0.074000,
       706906.700000,      4944741.000000,            0.035000,            0.030000,            0.032000,
       706473.700000,      4944492.000000,            0.099000,            0.148000,            0.121000,
       706906.700000,      4944243.000000,            0.030000,            0.028000,            0.029000,
       705672.000000,      4941690.000000,            0.121000,            0.079000,            0.098000,
       705419.900000,      4942116.000000,            0.118000,            0.084000,            0.099000,
       706026.600000,      4943742.000000,            0.067000,            0.158000,            0.103000,
       705577.200000,      4943502.000000,            0.093000,            0.162000,            0.123000,
       706007.100000,      4943234.000000,            0.075000,            0.124000,            0.097000,
