E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.117000,            0.126000,            0.121000,
       632624.900000,      4992041.000000,            0.235000,            0.180000,            0.206000,
       632953.500000,      4992215.000000,            0.824000,            1.069000,            0.938000,
       633123.400000,      4941256.000000,            0.036000,            0.120000,            0.066000,
       632952.100000,      4941581.000000,            0.313000,            0.295000,            0.304000,
       632624.900000,      4941256.000000,            0.050000,            0.077000,            0.062000,
       706906.700000,      4941754.000000,            0.156000,            0.063000,            0.100000,
       706578.100000,      4941580.000000,            0.212000,            0.182000,            0.196000,
       706906.700000,      4941256.000000,            0.034000,            0.051000,            0.041000,
       633487.400000,      4970631.000000,            0.580000,            0.928000,            0.734000,
       633487.400000,      4971129.000000,            0.646000,            0.850000,            0.741000,
       633056.200000,      4970880.000000,            0.611000,            0.737000,            0.671000,
       632624.900000,      4990548.000000,            0.125000,            0.244000,            0.174000,
       633071.000000,      4990807.000000,            2.172000,            2.105000,            2.138000,
       632624.900000,      4991045.000000,            0.137000,            0.232000,            0.178000,
       636075.100000,      4969635.000000,            0.547000,            1.015000,            0.745000,
       636075.100000,      4970132.000000,            0.602000,            1.483000,            0.945000,
       635643.800000,      4969884.000000,            0.440000,            0.835000,            0.606000,
       633505.000000,      4990053.000000,            1.075000,            1.117000,            1.096000,
       633954.400000,      4990293.000000,            3.020000,            1.569000,            2.177000,
       633524.500000,      4990561.000000,            2.591000,            2.152000,            2.361000,
       661041.600000,      4991676.000000,            0.769000,            3.461000,            1.631000,
       660792.300000,      4992107.000000,            0.828000,            3.893000,            1.795000,
       660543.100000,      4991676.000000,            0.806000,            3.413000,            1.659000,
       634868.600000,      4992108.000000,            2.517000,            0.918000,            1.520000,
       634368.900000,      4992108.000000,            2.349000,            0.909000,            1.461000,
       634614.500000,      4991680.000000,            1.567000,            0.935000,            1.211000,
       633056.200000,      4971876.000000,            0.736000,            0.890000,            0.809000,
       633056.200000,      4972374.000000,            0.561000,            1.021000,            0.757000,
       632624.900000,      4972125.000000,            0.262000,            0.121000,            0.178000,
       632624.900000,      4987062.000000,            0.295000,            0.554000,            0.404000,
       633056.200000,      4987311.000000,            1.004000,            1.330000,            1.155000,
       632624.900000,      4987560.000000,            0.213000,            0.418000,            0.299000,
       636364.100000,      4992107.000000,            1.683000,            1.059000,            1.335000,
       635865.500000,      4992107.000000,            1.133000,            0.972000,            1.049000,
       636114.900000,      4991676.000000,            0.874000,            0.660000,            0.760000,
       657303.200000,      4989517.000000,            2.375000,            2.722000,            2.542000,
       657801.700000,      4989517.000000,            2.181000,            2.541000,            2.354000,
       657552.300000,      4989949.000000,            2.356000,            2.619000,            2.484000,
       634781.100000,      4985816.000000,            1.219000,            1.616000,            1.403000,
       635212.200000,      4986065.000000,            1.085000,            3.375000,            1.914000,
       634781.000000,      4986314.000000,            1.100000,            2.902000,            1.787000,
       637361.100000,      4992107.000000,            1.501000,            1.587000,            1.543000,
       637610.500000,      4991676.000000,            1.175000,            0.788000,            0.962000,
       637859.700000,      4992107.000000,            1.350000,            1.649000,            1.492000,
       638358.200000,      4992107.000000,            1.825000,            2.038000,            1.928000,
       638109.100000,      4991676.000000,            1.032000,            0.872000,            0.949000,
       638607.600000,      4991676.000000,            1.472000,            1.136000,            1.293000,
       638856.700000,      4992107.000000,            1.050000,            2.351000,            1.571000,
       633487.400000,      4975112.000000,            0.895000,            1.387000,            1.114000,
       633487.400000,      4975610.000000,            0.794000,            1.248000,            0.995000,
       633056.200000,      4975362.000000,            1.116000,            1.253000,            1.182000,
       650323.000000,      4992107.000000,            1.077000,            1.838000,            1.407000,
       649824.500000,      4992107.000000,            1.064000,            1.900000,            1.422000,
       650073.900000,      4991676.000000,            1.182000,            2.387000,            1.680000,
       643343.800000,      4991244.000000,            1.807000,            2.114000,            1.955000,
       643094.400000,      4991676.000000,            2.059000,            2.460000,            2.251000,
       642845.200000,      4991244.000000,            1.480000,            2.967000,            2.096000,
       640103.500000,      4990812.000000,            1.667000,            1.084000,            1.344000,
       640352.900000,      4990381.000000,            1.787000,            1.091000,            1.396000,
       640602.000000,      4990812.000000,            1.967000,            1.452000,            1.690000,
       641349.400000,      4992107.000000,            1.313000,            2.973000,            1.976000,
       641598.800000,      4991676.000000,            2.293000,            3.051000,            2.645000,
       641847.900000,      4992107.000000,            1.266000,            2.219000,            1.676000,
       632624.900000,      4974117.000000,            0.149000,            0.139000,            0.144000,
       633056.200000,      4974366.000000,            0.890000,            1.754000,            1.250000,
       632624.900000,      4974615.000000,            0.154000,            0.152000,            0.153000,
       633487.400000,      4983079.000000,            1.192000,            1.289000,            1.239000,
       633056.200000,      4982830.000000,            1.255000,            1.032000,            1.138000,
       633487.400000,      4982581.000000,            1.309000,            0.980000,            1.133000,
       643842.100000,      4992107.000000,            2.117000,            1.959000,            2.037000,
       643343.500000,      4992107.000000,            1.873000,            2.005000,            1.938000,
       643592.900000,      4991676.000000,            2.166000,            2.131000,            2.148000,
       644590.200000,      4990812.000000,            2.322000,            2.350000,            2.336000,
       644091.700000,      4990812.000000,            2.144000,            1.802000,            1.965000,
       644341.100000,      4990381.000000,            2.525000,            2.635000,            2.579000,
       645337.700000,      4992107.000000,            3.001000,            1.845000,            2.353000,
       644839.100000,      4992107.000000,            2.632000,            1.968000,            2.276000,
       645088.500000,      4991676.000000,            2.629000,            2.770000,            2.699000,
       633056.200000,      4980838.000000,            1.113000,            1.668000,            1.362000,
       632624.900000,      4980590.000000,            0.447000,            0.285000,            0.357000,
       633056.200000,      4980340.000000,            1.366000,            1.945000,            1.630000,
       632624.900000,      4975611.000000,            0.326000,            0.155000,            0.224000,
       632624.900000,      4975113.000000,            0.324000,            0.148000,            0.219000,
       650821.800000,      4991244.000000,            1.559000,            1.503000,            1.531000,
       651320.300000,      4991244.000000,            1.574000,            1.558000,            1.566000,
       651070.900000,      4991676.000000,            1.211000,            2.414000,            1.710000,
       648329.300000,      4990381.000000,            1.649000,            3.095000,            2.259000,
       647830.800000,      4990381.000000,            1.885000,            2.807000,            2.301000,
       648080.200000,      4989949.000000,            1.875000,            2.195000,            2.028000,
       633056.200000,      4973370.000000,            0.650000,            1.978000,            1.134000,
       633056.200000,      4972872.000000,            0.598000,            1.459000,            0.934000,
       633487.400000,      4973121.000000,            0.512000,            2.893000,            1.217000,
       633487.400000,      4976108.000000,            1.000000,            1.149000,            1.072000,
       633487.400000,      4976606.000000,            1.585000,            1.124000,            1.335000,
       633056.200000,      4976357.000000,            1.320000,            0.982000,            1.139000,
       634349.900000,      4975112.000000,            0.848000,            1.366000,            1.076000,
       634349.900000,      4975610.000000,            1.051000,            1.476000,            1.246000,
       633918.700000,      4975361.000000,            0.930000,            1.210000,            1.061000,
       635212.500000,      4973120.000000,            0.964000,            2.902000,            1.672000,
       635212.500000,      4973618.000000,            0.832000,            1.895000,            1.256000,
       634781.200000,      4973369.000000,            0.879000,            2.285000,            1.417000,
       654809.800000,      4992107.000000,            1.948000,            2.598000,            2.250000,
       655059.200000,      4991676.000000,            1.552000,            2.440000,            1.946000,
       655308.400000,      4992107.000000,            1.939000,            2.855000,            2.353000,
       662288.100000,      4991244.000000,            0.546000,            2.958000,            1.270000,
       662786.600000,      4991244.000000,            0.545000,            2.811000,            1.238000,
       662537.200000,      4991676.000000,            0.810000,            3.839000,            1.764000,
       633918.700000,      4970382.000000,            0.619000,            0.541000,            0.578000,
       633918.700000,      4970880.000000,            0.636000,            0.611000,            0.623000,
       655557.700000,      4991676.000000,            1.481000,            2.704000,            2.002000,
       655806.900000,      4992107.000000,            1.909000,            2.839000,            2.328000,
       655558.200000,      4989949.000000,            1.707000,            2.255000,            1.962000,
       655807.600000,      4989517.000000,            2.362000,            2.530000,            2.445000,
       656056.700000,      4989949.000000,            1.889000,            2.372000,            2.117000,
       663783.500000,      4992107.000000,            0.675000,            2.931000,            1.406000,
       663534.100000,      4992539.000000,            0.055000,            0.363000,            0.141000,
       663284.900000,      4992107.000000,            0.623000,            3.818000,            1.542000,
       662537.000000,      4941256.000000,            0.131000,            0.132000,            0.132000,
       663035.600000,      4941256.000000,            0.047000,            0.164000,            0.087000,
       662786.200000,      4941687.000000,            0.805000,            1.389000,            1.058000,
       665279.100000,      4992107.000000,            1.053000,            2.544000,            1.637000,
       665029.700000,      4992539.000000,            0.061000,            0.515000,            0.178000,
       664780.600000,      4992107.000000,            0.896000,            2.507000,            1.499000,
       663034.200000,      4946436.000000,            0.234000,            0.444000,            0.323000,
       662784.700000,      4946868.000000,            0.283000,            0.705000,            0.447000,
       662535.600000,      4946436.000000,            0.224000,            0.565000,            0.356000,
       666774.700000,      4992107.000000,            1.264000,            2.178000,            1.659000,
       666525.300000,      4992539.000000,            0.165000,            0.346000,            0.239000,
       666276.200000,      4992107.000000,            1.200000,            2.538000,            1.745000,
       661042.600000,      4988222.000000,            1.388000,            4.773000,            2.574000,
       661291.900000,      4987791.000000,            1.331000,            5.247000,            2.643000,
       661541.100000,      4988222.000000,            1.586000,            5.237000,            2.882000,
       668270.300000,      4992107.000000,            1.547000,            1.616000,            1.581000,
       668020.900000,      4992539.000000,            0.089000,            0.358000,            0.178000,
       667771.800000,      4992107.000000,            1.458000,            1.962000,            1.691000,
       662538.200000,      4988222.000000,            1.041000,            4.953000,            2.271000,
       662787.600000,      4987791.000000,            1.120000,            5.625000,            2.510000,
       663036.700000,      4988222.000000,            0.797000,            4.298000,            1.851000,
       669765.900000,      4992107.000000,            1.568000,            1.374000,            1.468000,
       669516.500000,      4992539.000000,            0.044000,            0.312000,            0.117000,
       669267.400000,      4992107.000000,            1.267000,            1.526000,            1.390000,
       664033.800000,      4988222.000000,            0.753000,            3.248000,            1.564000,
       664283.200000,      4987791.000000,            0.810000,            3.447000,            1.671000,
       664532.300000,      4988222.000000,            0.778000,            2.868000,            1.494000,
       671261.500000,      4992107.000000,            1.316000,            1.394000,            1.354000,
       671012.200000,      4992539.000000,            0.100000,            0.311000,            0.176000,
       670763.000000,      4992107.000000,            1.350000,            1.482000,            1.414000,
       665529.400000,      4988222.000000,            0.797000,            2.156000,            1.311000,
       665778.800000,      4987791.000000,            0.817000,            2.489000,            1.426000,
       666027.900000,      4988222.000000,            0.886000,            1.946000,            1.314000,
       672757.100000,      4992107.000000,            1.305000,            1.433000,            1.367000,
       672507.800000,      4992539.000000,            0.078000,            0.279000,            0.148000,
       672258.600000,      4992107.000000,            1.307000,            1.232000,            1.269000,
       667025.000000,      4988222.000000,            0.699000,            2.659000,            1.364000,
       667274.400000,      4987791.000000,            0.830000,            2.644000,            1.481000,
       667523.500000,      4988222.000000,            0.937000,            2.739000,            1.602000,
       674252.700000,      4992107.000000,            1.038000,            1.224000,            1.127000,
       674003.400000,      4992539.000000,            0.229000,            0.346000,            0.281000,
       673754.200000,      4992107.000000,            0.966000,            1.366000,            1.149000,
       668520.600000,      4988222.000000,            0.900000,            2.596000,            1.529000,
       668770.000000,      4987791.000000,            0.839000,            2.847000,            1.546000,
       669019.100000,      4988222.000000,            1.213000,            2.257000,            1.654000,
       675748.300000,      4992107.000000,            0.898000,            1.515000,            1.166000,
       675499.000000,      4992539.000000,            0.130000,            0.494000,            0.254000,
       675249.800000,      4992107.000000,            0.981000,            1.240000,            1.103000,
       670016.200000,      4988222.000000,            0.752000,            1.869000,            1.185000,
       670265.600000,      4987791.000000,            0.876000,            2.017000,            1.329000,
       670514.700000,      4988222.000000,            0.931000,            2.032000,            1.375000,
       677243.900000,      4992107.000000,            0.710000,            1.634000,            1.077000,
       676994.600000,      4992539.000000,            0.050000,            0.304000,            0.123000,
       676745.400000,      4992107.000000,            0.817000,            1.537000,            1.121000,
       671511.800000,      4988222.000000,            1.042000,            1.943000,            1.422000,
       671761.200000,      4987791.000000,            0.975000,            1.918000,            1.368000,
       672010.300000,      4988222.000000,            1.149000,            1.738000,            1.413000,
       678739.600000,      4992107.000000,            1.039000,            1.657000,            1.312000,
       678490.200000,      4992539.000000,            0.072000,            0.246000,            0.133000,
       678241.000000,      4992107.000000,            0.807000,            1.727000,            1.181000,
       677493.100000,      4941256.000000,            0.044000,            0.173000,            0.087000,
       677991.700000,      4941256.000000,            0.048000,            0.139000,            0.081000,
       677742.300000,      4941687.000000,            0.916000,            1.452000,            1.153000,
       676993.200000,      4946436.000000,            0.468000,            0.632000,            0.544000,
       676743.800000,      4946868.000000,            0.444000,            0.621000,            0.525000,
       676494.700000,      4946436.000000,            0.527000,            0.790000,            0.645000,
       674502.800000,      4989086.000000,            1.081000,            1.066000,            1.074000,
       674752.200000,      4988654.000000,            1.495000,            1.386000,            1.440000,
       675001.300000,      4989086.000000,            1.224000,            0.915000,            1.058000,
       681232.200000,      4992107.000000,            1.344000,            1.130000,            1.232000,
       681730.800000,      4992107.000000,            1.065000,            1.016000,            1.040000,
       681481.400000,      4992539.000000,            0.150000,            0.215000,            0.179000,
       675998.700000,      4988222.000000,            1.384000,            1.187000,            1.282000,
       676248.100000,      4987791.000000,            1.407000,            1.367000,            1.387000,
       676497.200000,      4988222.000000,            1.447000,            1.032000,            1.222000,
       683226.400000,      4992107.000000,            1.043000,            0.851000,            0.942000,
       682977.000000,      4992539.000000,            0.064000,            0.317000,            0.142000,
       682727.800000,      4992107.000000,            1.038000,            0.904000,            0.969000,
