E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.146000,            0.167000,            0.156000,
       632624.900000,      4992041.000000,            0.449000,            0.172000,            0.278000,
       632953.500000,      4992215.000000,            1.233000,            1.478000,            1.350000,
       633123.400000,      4941256.000000,            0.059000,            0.180000,            0.103000,
       632952.100000,      4941581.000000,            0.447000,            0.434000,            0.441000,
       632624.900000,      4941256.000000,            0.049000,            0.068000,            0.058000,
       706906.700000,      4941754.000000,            0.178000,            0.150000,            0.163000,
       706578.100000,      4941580.000000,            0.302000,            0.142000,            0.207000,
       706906.700000,      4941256.000000,            0.049000,            0.030000,            0.038000,
       633487.400000,      4970631.000000,            0.945000,            1.332000,            1.122000,
       633487.400000,      4971129.000000,            1.132000,            1.020000,            1.074000,
       633056.200000,      4970880.000000,            0.980000,            0.935000,            0.957000,
       632624.900000,      4990548.000000,            0.243000,            0.303000,            0.271000,
       633071.000000,      4990807.000000,            1.872000,            2.203000,            2.031000,
       632624.900000,      4991045.000000,            0.195000,            0.336000,            0.256000,
       636075.100000,      4969635.000000,            0.734000,            1.365000,            1.001000,
       636075.100000,      4970132.000000,            0.766000,            1.716000,            1.146000,
       635643.800000,      4969884.000000,            0.598000,            1.655000,            0.995000,
       633505.000000,      4990053.000000,            1.510000,            1.341000,            1.423000,
       633954.400000,      4990293.000000,            3.275000,            1.822000,            2.442000,
       633524.500000,      4990561.000000,            2.818000,            3.586000,            3.179000,
       661041.600000,      4991676.000000,            1.092000,            5.006000,            2.338000,
       660792.300000,      4992107.000000,            1.219000,            6.505000,            2.816000,
       660543.100000,      4991676.000000,            1.213000,            4.481000,            2.331000,
       634868.600000,      4992108.000000,            4.296000,            1.614000,            2.633000,
       634368.900000,      4992108.000000,            3.417000,            1.705000,            2.413000,
       634614.500000,      4991680.000000,            2.471000,            1.330000,            1.813000,
       633056.200000,      4971876.000000,            1.301000,            1.000000,            1.141000,
       633056.200000,      4972374.000000,            0.864000,            1.392000,            1.097000,
       632624.900000,      4972125.000000,            0.255000,            0.152000,            0.197000,
       632624.900000,      4987062.000000,            0.491000,            0.611000,            0.548000,
       633056.200000,      4987311.000000,            1.543000,            1.357000,            1.447000,
       632624.900000,      4987560.000000,            0.303000,            0.495000,            0.387000,
       636364.100000,      4992107.000000,            4.151000,            1.328000,            2.348000,
       635865.500000,      4992107.000000,            2.889000,            1.291000,            1.931000,
       636114.900000,      4991676.000000,            1.292000,            0.766000,            0.995000,
       657303.200000,      4989517.000000,            3.145000,            3.202000,            3.173000,
       657801.700000,      4989517.000000,            2.930000,            3.025000,            2.977000,
       657552.300000,      4989949.000000,            3.117000,            3.290000,            3.202000,
       634781.100000,      4985816.000000,            1.500000,            2.030000,            1.745000,
       635212.200000,      4986065.000000,            2.217000,            4.514000,            3.163000,
       634781.000000,      4986314.000000,            1.938000,            3.005000,            2.413000,
       637361.100000,      4992107.000000,            2.415000,            1.765000,            2.065000,
       637610.500000,      4991676.000000,            2.203000,            1.244000,            1.656000,
       637859.700000,      4992107.000000,            1.729000,            1.845000,            1.786000,
       638358.200000,      4992107.000000,            1.969000,            2.865000,            2.375000,
       638109.100000,      4991676.000000,            1.761000,            1.222000,            1.467000,
       638607.600000,      4991676.000000,            2.252000,            1.599000,            1.898000,
       638856.700000,      4992107.000000,            1.221000,            4.129000,            2.245000,
       633487.400000,      4975112.000000,            1.008000,            2.065000,            1.443000,
       633487.400000,      4975610.000000,            1.119000,            1.690000,            1.375000,
       633056.200000,      4975362.000000,            1.594000,            1.447000,            1.519000,
       650323.000000,      4992107.000000,            1.656000,            3.198000,            2.301000,
       649824.500000,      4992107.000000,            1.819000,            3.289000,            2.446000,
       650073.900000,      4991676.000000,            1.896000,            3.204000,            2.465000,
       643343.800000,      4991244.000000,            2.091000,            2.534000,            2.302000,
       643094.400000,      4991676.000000,            2.313000,            3.167000,            2.706000,
       642845.200000,      4991244.000000,            1.917000,            2.937000,            2.373000,
       640103.500000,      4990812.000000,            2.431000,            1.422000,            1.860000,
       640352.900000,      4990381.000000,            3.139000,            1.293000,            2.014000,
       640602.000000,      4990812.000000,            2.316000,            1.478000,            1.850000,
       641349.400000,      4992107.000000,            1.447000,            4.587000,            2.577000,
       641598.800000,      4991676.000000,            2.441000,            3.752000,            3.026000,
       641847.900000,      4992107.000000,            1.607000,            3.251000,            2.286000,
       632624.900000,      4974117.000000,            0.152000,            0.264000,            0.200000,
       633056.200000,      4974366.000000,            0.962000,            2.204000,            1.456000,
       632624.900000,      4974615.000000,            0.187000,            0.249000,            0.216000,
       633487.400000,      4983079.000000,            1.587000,            1.433000,            1.508000,
       633056.200000,      4982830.000000,            1.576000,            1.223000,            1.389000,
       633487.400000,      4982581.000000,            2.129000,            0.987000,            1.449000,
       643842.100000,      4992107.000000,            2.752000,            2.437000,            2.590000,
       643343.500000,      4992107.000000,            2.448000,            2.834000,            2.634000,
       643592.900000,      4991676.000000,            2.443000,            3.036000,            2.723000,
       644590.200000,      4990812.000000,            2.367000,            3.073000,            2.697000,
       644091.700000,      4990812.000000,            2.356000,            2.057000,            2.201000,
       644341.100000,      4990381.000000,            2.804000,            2.899000,            2.851000,
       645337.700000,      4992107.000000,            3.798000,            1.812000,            2.624000,
       644839.100000,      4992107.000000,            3.451000,            2.010000,            2.633000,
       645088.500000,      4991676.000000,            2.686000,            3.291000,            2.973000,
       633056.200000,      4980838.000000,            1.532000,            1.974000,            1.739000,
       632624.900000,      4980590.000000,            0.831000,            0.392000,            0.571000,
       633056.200000,      4980340.000000,            1.702000,            2.803000,            2.184000,
       632624.900000,      4975611.000000,            0.677000,            0.156000,            0.325000,
       632624.900000,      4975113.000000,            0.603000,            0.220000,            0.364000,
       650821.800000,      4991244.000000,            2.402000,            2.258000,            2.329000,
       651320.300000,      4991244.000000,            2.361000,            2.476000,            2.418000,
       651070.900000,      4991676.000000,            2.211000,            3.528000,            2.793000,
       648329.300000,      4990381.000000,            2.322000,            4.149000,            3.104000,
       647830.800000,      4990381.000000,            2.383000,            3.713000,            2.975000,
       648080.200000,      4989949.000000,            2.726000,            2.537000,            2.630000,
       633056.200000,      4973370.000000,            0.960000,            2.499000,            1.549000,
       633056.200000,      4972872.000000,            0.782000,            1.793000,            1.184000,
       633487.400000,      4973121.000000,            0.778000,            3.939000,            1.750000,
       633487.400000,      4976108.000000,            1.295000,            1.403000,            1.348000,
       633487.400000,      4976606.000000,            1.841000,            1.496000,            1.660000,
       633056.200000,      4976357.000000,            1.520000,            1.235000,            1.370000,
       634349.900000,      4975112.000000,            0.994000,            1.752000,            1.320000,
       634349.900000,      4975610.000000,            1.730000,            1.784000,            1.757000,
       633918.700000,      4975361.000000,            1.185000,            1.464000,            1.317000,
       635212.500000,      4973120.000000,            1.189000,            3.365000,            2.000000,
       635212.500000,      4973618.000000,            1.147000,            2.326000,            1.633000,
       634781.200000,      4973369.000000,            1.381000,            2.773000,            1.957000,
       654809.800000,      4992107.000000,            2.964000,            4.303000,            3.571000,
       655059.200000,      4991676.000000,            2.283000,            4.146000,            3.077000,
       655308.400000,      4992107.000000,            2.991000,            4.762000,            3.774000,
       662288.100000,      4991244.000000,            0.683000,            4.805000,            1.812000,
       662786.600000,      4991244.000000,            0.742000,            4.908000,            1.908000,
       662537.200000,      4991676.000000,            1.377000,            5.383000,            2.722000,
       633918.700000,      4970382.000000,            0.765000,            0.692000,            0.728000,
       633918.700000,      4970880.000000,            0.927000,            0.814000,            0.869000,
       655557.700000,      4991676.000000,            2.222000,            3.956000,            2.965000,
       655806.900000,      4992107.000000,            2.900000,            4.847000,            3.750000,
       655558.200000,      4989949.000000,            2.360000,            2.839000,            2.588000,
       655807.600000,      4989517.000000,            3.192000,            2.952000,            3.069000,
       656056.700000,      4989949.000000,            2.554000,            3.039000,            2.786000,
       663783.500000,      4992107.000000,            0.988000,            5.253000,            2.278000,
       663534.100000,      4992539.000000,            0.106000,            0.690000,            0.270000,
       663284.900000,      4992107.000000,            0.876000,            6.988000,            2.475000,
       662537.000000,      4941256.000000,            0.382000,            0.236000,            0.300000,
       663035.600000,      4941256.000000,            0.117000,            0.418000,            0.222000,
       662786.200000,      4941687.000000,            1.542000,            2.265000,            1.869000,
       665279.100000,      4992107.000000,            1.349000,            4.169000,            2.371000,
       665029.700000,      4992539.000000,            0.114000,            0.723000,            0.287000,
       664780.600000,      4992107.000000,            1.282000,            4.652000,            2.443000,
       663034.200000,      4946436.000000,            0.254000,            1.019000,            0.509000,
       662784.700000,      4946868.000000,            0.318000,            1.236000,            0.627000,
       662535.600000,      4946436.000000,            0.285000,            1.058000,            0.549000,
       666774.700000,      4992107.000000,            1.606000,            3.675000,            2.429000,
       666525.300000,      4992539.000000,            0.532000,            0.877000,            0.683000,
