E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.024000,            0.023000,            0.024000,
       632624.900000,      4992041.000000,            0.051000,            0.020000,            0.032000,
       632953.500000,      4992215.000000,            0.365000,            0.379000,            0.372000,
       633123.400000,      4941256.000000,            0.004000,            0.013000,            0.007000,
       632952.100000,      4941581.000000,            0.088000,            0.051000,            0.067000,
       632624.900000,      4941256.000000,            0.007000,            0.008000,            0.007000,
       706906.700000,      4941754.000000,            0.011000,            0.005000,            0.007000,
       706578.100000,      4941580.000000,            0.061000,            0.035000,            0.046000,
       706906.700000,      4941256.000000,            0.003000,            0.005000,            0.004000,
       633487.400000,      4970631.000000,            0.236000,            0.273000,            0.254000,
       633487.400000,      4971129.000000,            0.240000,            0.244000,            0.242000,
       633056.200000,      4970880.000000,            0.205000,            0.311000,            0.253000,
       632624.900000,      4990548.000000,            0.031000,            0.044000,            0.037000,
       633071.000000,      4990807.000000,            0.738000,            0.569000,            0.648000,
       632624.900000,      4991045.000000,            0.040000,            0.040000,            0.040000,
       636075.100000,      4969635.000000,            0.261000,            0.356000,            0.305000,
       636075.100000,      4970132.000000,            0.311000,            0.451000,            0.375000,
       635643.800000,      4969884.000000,            0.225000,            0.317000,            0.267000,
       633505.000000,      4990053.000000,            0.309000,            0.368000,            0.337000,
       633954.400000,      4990293.000000,            0.543000,            0.444000,            0.491000,
       633524.500000,      4990561.000000,            0.645000,            0.605000,            0.625000,
       661041.600000,      4991676.000000,            0.443000,            1.329000,            0.767000,
       660792.300000,      4992107.000000,            0.403000,            1.784000,            0.848000,
       660543.100000,      4991676.000000,            0.432000,            1.268000,            0.740000,
       634868.600000,      4992108.000000,            0.644000,            0.443000,            0.534000,
       634368.900000,      4992108.000000,            0.662000,            0.443000,            0.542000,
       634614.500000,      4991680.000000,            0.390000,            0.324000,            0.355000,
       633056.200000,      4971876.000000,            0.262000,            0.351000,            0.303000,
       633056.200000,      4972374.000000,            0.238000,            0.343000,            0.285000,
       632624.900000,      4972125.000000,            0.042000,            0.013000,            0.023000,
       632624.900000,      4987062.000000,            0.066000,            0.152000,            0.100000,
       633056.200000,      4987311.000000,            0.340000,            0.378000,            0.358000,
       632624.900000,      4987560.000000,            0.075000,            0.103000,            0.087000,
       636364.100000,      4992107.000000,            0.396000,            0.492000,            0.441000,
       635865.500000,      4992107.000000,            0.384000,            0.490000,            0.434000,
       636114.900000,      4991676.000000,            0.280000,            0.353000,            0.314000,
       657303.200000,      4989517.000000,            0.680000,            1.369000,            0.965000,
       657801.700000,      4989517.000000,            0.614000,            1.380000,            0.920000,
       657552.300000,      4989949.000000,            0.794000,            1.310000,            1.020000,
