E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       633487.400000,      4973121.000000,            1.707000,            1.319000,            1.501000,
       633487.400000,      4976108.000000,            1.252000,            1.723000,            1.469000,
       633487.400000,      4976606.000000,            1.404000,            1.586000,            1.492000,
       633056.200000,      4976357.000000,            1.436000,            1.277000,            1.354000,
       634349.900000,      4975112.000000,            1.322000,            1.139000,            1.227000,
       634349.900000,      4975610.000000,            1.688000,            1.273000,            1.466000,
       633918.700000,      4975361.000000,            1.189000,            1.172000,            1.181000,
       635212.500000,      4973120.000000,            1.195000,            1.182000,            1.188000,
       635212.500000,      4973618.000000,            1.147000,            1.335000,            1.238000,
       634781.200000,      4973369.000000,            1.408000,            1.226000,            1.314000,
       654809.800000,      4992107.000000,            1.611000,            1.745000,            1.677000,
       655059.200000,      4991676.000000,            1.552000,            1.930000,            1.731000,
       655308.400000,      4992107.000000,            1.765000,            2.083000,            1.918000,
       662288.100000,      4991244.000000,            1.432000,            1.919000,            1.658000,
       662786.600000,      4991244.000000,            1.518000,            1.696000,            1.605000,
       662537.200000,      4991676.000000,            1.867000,            1.719000,            1.791000,
       633918.700000,      4970382.000000,            1.489000,            1.328000,            1.406000,
       633918.700000,      4970880.000000,            1.244000,            1.703000,            1.455000,
       655557.700000,      4991676.000000,            1.671000,            1.807000,            1.738000,
       655806.900000,      4992107.000000,            1.460000,            1.621000,            1.538000,
       655558.200000,      4989949.000000,            1.677000,            2.247000,            1.941000,
       655807.600000,      4989517.000000,            2.135000,            1.597000,            1.847000,
       656056.700000,      4989949.000000,            1.575000,            2.182000,            1.854000,
       663783.500000,      4992107.000000,            1.940000,            1.595000,            1.759000,
       663534.100000,      4992539.000000,            2.519000,            1.553000,            1.978000,
       663284.900000,      4992107.000000,            2.023000,            1.868000,            1.944000,
       662537.000000,      4941256.000000,            1.432000,            1.682000,            1.552000,
       663035.600000,      4941256.000000,            1.431000,            1.450000,            1.441000,
       662786.200000,      4941687.000000,            1.600000,            1.522000,            1.561000,
       665279.100000,      4992107.000000,            1.972000,            1.703000,            1.832000,
       665029.700000,      4992539.000000,            1.291000,            2.019000,            1.614000,
       664780.600000,      4992107.000000,            1.922000,            1.682000,            1.798000,
       663034.200000,      4946436.000000,            1.957000,            1.787000,            1.870000,
       662784.700000,      4946868.000000,            1.627000,            1.595000,            1.611000,
       662535.600000,      4946436.000000,            1.741000,            2.198000,            1.956000,
       666774.700000,      4992107.000000,            1.357000,            2.577000,            1.870000,
       666525.300000,      4992539.000000,            1.644000,            1.705000,            1.674000,
       666276.200000,      4992107.000000,            1.560000,            1.747000,            1.651000,
       661042.600000,      4988222.000000,            2.341000,            2.210000,            2.275000,
       661291.900000,      4987791.000000,            2.552000,            1.968000,            2.241000,
       661541.100000,      4988222.000000,            2.475000,            3.043000,            2.744000,
       668270.300000,      4992107.000000,            1.428000,            1.659000,            1.539000,
       668020.900000,      4992539.000000,            1.582000,            1.705000,            1.643000,
       667771.800000,      4992107.000000,            2.114000,            1.822000,            1.963000,
       662538.200000,      4988222.000000,            2.557000,            2.056000,            2.293000,
       662787.600000,      4987791.000000,            2.023000,            2.404000,            2.205000,
       663036.700000,      4988222.000000,            1.985000,            2.153000,            2.067000,
       669765.900000,      4992107.000000,            1.369000,            2.141000,            1.712000,
       669516.500000,      4992539.000000,            1.736000,            1.516000,            1.622000,
       669267.400000,      4992107.000000,            1.705000,            1.851000,            1.776000,
       664033.800000,      4988222.000000,            1.498000,            1.922000,            1.697000,
       664283.200000,      4987791.000000,            1.760000,            1.902000,            1.830000,
       664532.300000,      4988222.000000,            2.438000,            2.033000,            2.227000,
       671261.500000,      4992107.000000,            1.987000,            1.687000,            1.831000,
       671012.200000,      4992539.000000,            1.503000,            1.448000,            1.475000,
       670763.000000,      4992107.000000,            1.559000,            1.342000,            1.446000,
       665529.400000,      4988222.000000,            2.593000,            2.256000,            2.419000,
       665778.800000,      4987791.000000,            2.021000,            2.182000,            2.100000,
       666027.900000,      4988222.000000,            2.208000,            1.848000,            2.020000,
       672757.100000,      4992107.000000,            1.347000,            1.703000,            1.514000,
       672507.800000,      4992539.000000,            1.827000,            2.109000,            1.963000,
       672258.600000,      4992107.000000,            2.037000,            1.571000,            1.789000,
       667025.000000,      4988222.000000,            2.158000,            1.928000,            2.040000,
       667274.400000,      4987791.000000,            2.457000,            2.491000,            2.474000,
       667523.500000,      4988222.000000,            1.970000,            1.842000,            1.905000,
       674252.700000,      4992107.000000,            1.234000,            1.654000,            1.428000,
       674003.400000,      4992539.000000,            1.212000,            1.523000,            1.359000,
       673754.200000,      4992107.000000,            1.437000,            2.204000,            1.780000,
       668520.600000,      4988222.000000,            2.061000,            2.617000,            2.322000,
       668770.000000,      4987791.000000,            2.366000,            1.822000,            2.076000,
       669019.100000,      4988222.000000,            1.520000,            1.774000,            1.642000,
       675748.300000,      4992107.000000,            1.484000,            1.646000,            1.563000,
       675499.000000,      4992539.000000,            1.458000,            1.675000,            1.563000,
       675249.800000,      4992107.000000,            1.493000,            1.444000,            1.468000,
       670016.200000,      4988222.000000,            2.449000,            2.092000,            2.264000,
       670265.600000,      4987791.000000,            1.952000,            1.879000,            1.915000,
       670514.700000,      4988222.000000,            2.661000,            3.015000,            2.833000,
       677243.900000,      4992107.000000,            1.786000,            1.750000,            1.768000,
       676994.600000,      4992539.000000,            1.570000,            2.187000,            1.853000,
       676745.400000,      4992107.000000,            1.568000,            1.356000,            1.459000,
       671511.800000,      4988222.000000,            1.959000,            2.221000,            2.086000,
       671761.200000,      4987791.000000,            2.710000,            1.700000,            2.146000,
       672010.300000,      4988222.000000,            2.536000,            2.127000,            2.323000,
       678739.600000,      4992107.000000,            1.577000,            1.477000,            1.526000,
       678490.200000,      4992539.000000,            1.187000,            1.301000,            1.243000,
       678241.000000,      4992107.000000,            1.315000,            1.624000,            1.461000,
       677493.100000,      4941256.000000,            1.287000,            1.075000,            1.176000,
       677991.700000,      4941256.000000,            1.523000,            1.379000,            1.449000,
