LON [dd], LAT [dd], Rgh [m/s2]
       11.2132343804,       45.0562806173,        0.3942906075,
       11.2102201039,       45.0599131886,        0.3881946378,
       11.2069074984,       45.0563935227,        0.3982580653,
       11.1391776201,       45.0249220856,        0.5368367275,
       11.1421965851,       45.0211881588,        0.5487360291,
       11.1455010754,       45.0248096896,        0.5329735107,
       11.2322160518,       45.0559398730,        0.3818479444,
       11.2292031203,       45.0595739731,        0.3764252350,
       11.2258892918,       45.0560537811,        0.3860756897,
       11.1581491364,       45.0245838483,        0.5243584226,
       11.1611667636,       45.0208484017,        0.5350777446,
       11.1644724734,       45.0244704256,        0.5196426975,
       11.2511973548,       45.0555961188,        0.3687895578,
       11.2481857689,       45.0592317572,        0.3640062518,
       11.2448707180,       45.0557110304,        0.3731957379,
       11.1771202970,       45.0242425301,        0.5094849591,
       11.1801365860,       45.0205055544,        0.5190028220,
       11.1834435149,       45.0241280799,        0.5040815631,
       11.2701795555,       45.0552493291,        0.3553450872,
       11.2671680463,       45.0588865382,        0.3511594785,
       11.2638517737,       45.0553652683,        0.3598564976,
       11.2365898025,       44.5555834386,        0.2775880043,
       11.2428678688,       44.5554293469,        0.2749635639,
       11.2398766333,       44.5603522927,        0.2804987310,
       11.2320811694,       44.6133737554,        0.4449330099,
       11.2290872537,       44.6181949812,        0.4574355408,
       11.2257992660,       44.6135237105,        0.4515413418,
       11.2153589301,       45.0308967304,        0.4543867547,
       11.2183725606,       45.0271713577,        0.4613498613,
       11.2216827609,       45.0307809154,        0.4486869458,
       11.3018127614,       45.0546646995,        0.3326246616,
       11.3081402917,       45.0545467487,        0.3280891511,
       11.3051314757,       45.0581870813,        0.3249504902,
       11.2340328827,       45.0232000421,        0.4554824922,
       11.2370451544,       45.0194584228,        0.4616555182,
       11.2403557367,       45.0230825047,        0.4489955034,
       11.3271200902,       45.0541909298,        0.3145963781,
       11.3241126214,       45.0578328382,        0.3119050365,
       11.3207926872,       45.0543098877,        0.3190714407,
       11.2530025899,       45.0228463756,        0.4359135509,
       11.2560135216,       45.0191031898,        0.4411396304,
       11.2593253205,       45.0227278074,        0.4293459843,
       11.5996968701,       44.7887102240,        0.2055392790,
       11.5994956575,       44.7836863646,        0.2052243908,
       11.6050436287,       44.7860607841,        0.2022507172,
       11.5890036865,       44.7940060541,        0.2123500351,
       11.5888032679,       44.7889976534,        0.2120580494,
       11.5943513339,       44.7913653379,        0.2089049071,
       11.3587526559,       45.0535911721,        0.2927198879,
       11.3650785322,       45.0534702217,        0.2884654379,
       11.3620737591,       45.0571153098,        0.2865231524,
       11.3957468953,       45.0311193433,        0.2890197084,
       11.3927441866,       45.0348364068,        0.2877179931,
       11.3894225307,       45.0312442295,        0.2937788279,
       11.3304404310,       45.0577140718,        0.3075965419,
       11.4183638070,       45.0416051799,        0.2635408059,
       11.4153633975,       45.0452894061,        0.2624433757,
       11.4120395843,       45.0417301151,        0.2676772289,
       11.6119252197,       44.9481858362,        0.1893311118,
       11.6174887433,       44.9503131000,        0.1862153250,
       11.6121284842,       44.9526881447,        0.1883504431,
       11.4063606269,       45.0562629155,        0.2587783024,
       11.4093609839,       45.0526140950,        0.2600640734,
       11.4126866030,       45.0561398119,        0.2550120347,
       11.4972536014,       45.0363849719,        0.2194623647,
       11.5035767903,       45.0362550470,        0.2161413729,
       11.5005822410,       45.0399498710,        0.2158061966,
       11.4852706961,       45.0511079590,        0.2176760363,
       11.4822744706,       45.0547633643,        0.2171085530,
       11.4789456632,       45.0512353182,        0.2208966817,
       11.4559835518,       45.0335742884,        0.2452064365,
       11.4496591816,       45.0337020543,        0.2491227876,
       11.4526578462,       45.0299800504,        0.2497597518,
       11.4842731930,       45.0293350868,        0.2306565304,
       11.4905968874,       45.0292050458,        0.2270557579,
       11.4876009209,       45.0329303906,        0.2267042799,
       11.4000333378,       45.0563857076,        0.2625968611,
       11.4030354135,       45.0527374023,        0.2639631570,
       11.3937072737,       45.0565081392,        0.2664652559,
       11.3967097990,       45.0528603726,        0.2679167957,
       11.6088823540,       44.8788181378,        0.2004733407,
       11.6086798482,       44.8740706441,        0.2009375123,
       11.6142362243,       44.8763139602,        0.1977004357,
       11.6084777961,       44.8693175216,        0.2013617111,
       11.6140333199,       44.8715584569,        0.1981302651,
       11.4313389510,       45.0485882128,        0.2496999342,
       11.4283399676,       45.0522421003,        0.2486996775,
       11.4250139622,       45.0487130753,        0.2535002439,
       11.3557474334,       45.0572357277,        0.2906655590,
       11.3367669287,       45.0575949943,        0.3033156652,
       11.3334461815,       45.0540716599,        0.3101507381,
       11.3714043651,       45.0533489349,        0.2842569368,
       11.3777314236,       45.0532272871,        0.2800955227,
       11.3747275495,       45.0568734435,        0.2783630188,
       11.5992948958,       44.7786580192,        0.2048681238,
       11.6048420192,       44.7810292267,        0.2019260903,
       11.2993610861,       44.5540228917,        0.2505443332,
       11.2963737856,       44.5589501828,        0.2552548310,
       11.2930833861,       44.5541809477,        0.2532872566,
       11.5836555951,       44.7966424089,        0.2158766616,
       11.5834555737,       44.7916417391,        0.2155979180,
       11.2886202603,       44.6120046361,        0.3856693363,
       11.2856299437,       44.6168193795,        0.3955311118,
       11.2823387223,       44.6121584784,        0.3921155124,
       11.3214821443,       44.5583155947,        0.2439688040,
       11.3184978148,       44.5632468169,        0.2484490617,
       11.3152054316,       44.5584748941,        0.2467765322,
       11.3277600744,       44.5581558230,        0.2411734373,
       11.3247749245,       44.5630875681,        0.3002832835,
       11.3340367037,       44.5579956430,        0.2383936055,
       11.3310532516,       44.5629278477,        0.2960268019,
       11.3403145501,       44.5578349903,        0.2856248476,
       11.3373302776,       44.5627677195,        0.2918083572,
       11.3495748949,       44.5527427285,        0.2289003598,
       11.3465910954,       44.5576739292,        0.2815962860,
       11.3432975283,       44.5529043129,        0.2315577327,
       11.3558509603,       44.5525807351,        0.2719154867,
       11.3528675986,       44.5575124277,        0.2776073601,
       11.3621269834,       44.5524183005,        0.2681062861,
       11.3591453186,       44.5573504530,        0.2736592843,
       11.3684042231,       44.5522553917,        0.2643372693,
       11.3654217372,       44.5571880700,        0.2697554303,
       11.3746801613,       44.5520920742,        0.2606114670,
       11.3716981134,       44.5570252463,        0.2658965869,
       11.6030300530,       44.7351043773,        0.1972532627,
       11.6028289133,       44.7299290332,        0.1965518025,
       11.6083724042,       44.7323748650,        0.1940222176,
       11.3872331688,       44.5517640815,        0.2532916920,
       11.3842519969,       44.5566982435,        0.2583185760,
       11.3809560570,       44.5519283151,        0.2569294591,
       11.3935089789,       44.5515994392,        0.2497006387,
       11.3905282451,       44.5565340970,        0.2546024266,
       11.6091790171,       44.7529641538,        0.1964649081,
       11.6093807880,       44.7580757662,        0.1969874323,
       11.6038350814,       44.7556636822,        0.1997072370,
       11.3968057093,       44.5563694765,        0.2509350953,
       11.4030818715,       44.5562044478,        0.2473187915,
       11.4001019892,       44.5611421392,        0.2521222495,
       11.6145212472,       44.7502603910,        0.1933010422,
       11.6147234142,       44.7553795538,        0.1938239273,
       11.6143191273,       44.7451269197,        0.1927436202,
       11.6089772933,       44.7478382061,        0.1959063908,
       11.6141170545,       44.7399791913,        0.1921523594,
       11.6087756165,       44.7426979739,        0.1953125957,
       11.6085739868,       44.7375435092,        0.1946842755,
       11.6139150289,       44.7348172583,        0.1915279923,
       11.6137130504,       44.7296411745,        0.1908712835,
       11.4344645512,       44.5553726184,        0.2300069561,
       11.4407404530,       44.5552049415,        0.2267008310,
       11.4377632070,       44.5601456436,        0.2308131715,
       11.4374422170,       44.5504344696,        0.2259050447,
       11.4437176803,       44.5502662914,        0.2227024510,
       11.4499930998,       44.5500976708,        0.2195493537,
       11.4470175699,       44.5550367892,        0.2234461660,
       11.4562697341,       44.5499285740,        0.2164450526,
       11.4532933839,       44.5548682290,        0.2202441498,
       11.4569181095,       44.5693188331,        0.2254014981,
       11.4631951094,       44.5691504718,        0.2220590602,
       11.4602188748,       44.5740657141,        0.2259559108,
       11.4595691539,       44.5546992270,        0.2170939358,
       11.4658461386,       44.5545297492,        0.2139946537,
       11.4628706512,       44.5594724723,        0.2177020961,
       11.4721218202,       44.5543598635,        0.2109472331,
       11.4691467725,       44.5593030935,        0.2145600894,
       11.5946818180,       44.6588759359,        0.1867428774,
       11.5944817752,       44.6535024915,        0.1856188134,
       11.6000186828,       44.6560424112,        0.1836617801,
       11.4750968545,       44.5494186960,        0.2074281100,
       11.4813720531,       44.5492478629,        0.2045199928,
       11.4783974575,       44.5541895359,        0.2079506801,
       11.5996178544,       44.6452685026,        0.1814440799,
       11.5994175103,       44.6398619093,        0.1803088906,
       11.6049534887,       44.6424172105,        0.1784902896,
       11.4846743091,       44.5540187319,        0.2050039928,
       11.4909498573,       44.5538475200,        0.2021078941,
       11.4879761290,       44.5587922750,        0.2054521052,
       11.4972253608,       44.5536758660,        0.1992612898,
       11.4942520723,       44.5586211306,        0.2025208284,
       11.6112933841,       44.6664562754,        0.1807820747,
       11.6114947982,       44.6717975331,        0.1817587072,
       11.6059574797,       44.6692767741,        0.1837711541,
       11.5064749185,       44.5485600334,        0.1933630060,
       11.5035020783,       44.5535037352,        0.1964630908,
       11.5001986399,       44.5487326725,        0.1960819256,
       11.6053551061,       44.6532049208,        0.1806598191,
       11.6055559850,       44.6585790496,        0.1817174025,
       11.5163859914,       44.5628701139,        0.1943118535,
       11.5134132846,       44.5677876363,        0.1973869072,
       11.5101085287,       44.5630425457,        0.1971205816,
       11.6108911009,       44.6557445761,        0.1787701901,
       11.6106898276,       44.6503635088,        0.1777348489,
       11.5253009663,       44.5480395267,        0.1854825747,
       11.5223294432,       44.5529847573,        0.1883576711,
       11.5190248230,       44.5482134953,        0.1880644134,
       11.6102874215,       44.6395620364,        0.1756121621,
       11.6047527502,       44.6370037745,        0.1773803378,
       11.6100862889,       44.6341417778,        0.1745267230,
       11.5352155902,       44.5623502401,        0.1861893261,
       11.5322429423,       44.5672693456,        0.1890357432,
       11.5289382633,       44.5625239959,        0.1888475451,
       11.5378505994,       44.5476903296,        0.1804529708,
       11.5348799544,       44.5526365826,        0.1831882600,
       11.5315758056,       44.5478651498,        0.1829458014,
       11.5924809318,       44.5990776785,        0.1735101037,
       11.5980155503,       44.6016672584,        0.1719685124,
       11.5926838870,       44.6045683486,        0.1747735835,
       11.5474315426,       44.5522866020,        0.1781993254,
       11.5444617750,       44.5572359689,        0.1808612924,
       11.5411564007,       44.5524617962,        0.1806712543,
       11.5537066387,       44.5521109651,        0.1757712772,
       11.5507373114,       44.5570608478,        0.1783677194,
       11.6039506667,       44.6152322252,        0.1727977940,
       11.5984168918,       44.6126465357,        0.1744128160,
       11.6037501619,       44.6097548039,        0.1716200880,
       11.5599829478,       44.5519348499,        0.1733859409,
       11.5570140609,       44.5568852492,        0.1759187047,
       11.5566759660,       44.5471631733,        0.1732314535,
       11.5629518357,       44.5469865437,        0.1709076753,
       11.6035497038,       44.6042648149,        0.1704316343,
       11.6033480329,       44.5987623743,        0.1692338181,
       11.6090813284,       44.6068482908,        0.1688958460,
       11.6088808800,       44.6013627510,        0.1677376031,
       11.5917855149,       44.5825008434,        0.1696949483,
       11.5861535317,       44.5799047289,        0.1711595018,
       11.5914702863,       44.5769531614,        0.1684401942,
       11.6086800751,       44.5958537425,        0.1665676093,
       11.5788065640,       44.5514039878,        0.1664839259,
       11.5850965349,       44.5512257070,        0.1642594821,
       11.5821769107,       44.5561317997,        0.1665263783,
       11.6082786056,       44.5847987241,        0.1642026761,
       11.6027256717,       44.5821814518,        0.1655963774,
       11.6080779410,       44.5792528816,        0.1630093633,
       11.5915084979,       44.5510773502,        0.1620412073,
       11.5885054367,       44.5559637658,        0.1642765344,
       11.5967946109,       44.5739752970,        0.1657807084,
       11.5910400276,       44.5714526375,        0.1672349168,
       11.5963453694,       44.5683008727,        0.1645711535,
       11.5977751309,       44.5504926824,        0.1598072196,
       11.5955484732,       44.5562929030,        0.1619456767,
       11.6076767519,       44.5681249564,        0.1606049650,
       11.6019570563,       44.5653719071,        0.1619223515,
       11.6074762275,       44.5625430473,        0.1593953864,
       11.6072761523,       44.5569605354,        0.1581842981,
       11.6020195525,       44.5540473777,        0.1592438651,
       11.6017379171,       44.5596384854,        0.1606496438,
       11.6029410536,       44.5877204671,        0.1668135079,
       11.5824169579,       44.6212988037,        0.1832371173,
       11.5768876158,       44.6187293426,        0.1849957589,
       11.5822197348,       44.6158462834,        0.1819297666,
       11.5381861929,       44.5574106479,        0.1834006574,
       11.5286047215,       44.5528108912,        0.1857500104,
       11.5256336333,       44.5577587146,        0.1886202469,
       11.5193579149,       44.5579320676,        0.1913013985,
       11.5160528608,       44.5531582156,        0.1910124302,
       11.6110924212,       44.6611124348,        0.1797869149,
       11.6057569107,       44.6639399323,        0.1827555250,
       11.5041622286,       44.5728783936,        0.2035098987,
       11.5011886792,       44.5777877877,        0.2068183273,
       11.4978851004,       44.5730493196,        0.2065397577,
       11.6061584991,       44.6746109825,        0.1847673667,
       11.6006202758,       44.6721040049,        0.1868409399,
       11.6008209003,       44.6774311186,        0.1878571378,
       11.6010211686,       44.6827340876,        0.1888478444,
       11.5954824560,       44.6802365169,        0.1910261871,
       11.4754228494,       44.5591332734,        0.2114715061,
       11.4724478458,       44.5640677366,        0.2150805557,
       11.5840080251,       44.6645310167,        0.1931532223,
       11.5895454673,       44.6670586499,        0.1910332459,
       11.5842073248,       44.6698772008,        0.1943058658,
       11.4565932267,       44.5596414438,        0.2208985891,
       11.4503170171,       44.5598099402,        0.2241486471,
       11.4440407635,       44.5599779956,        0.2274532046,
       11.6063595654,       44.6799317381,        0.1857410870,
       11.6118977673,       44.6824397299,        0.1836464514,
       11.6065606785,       44.6852389741,        0.1866913060,
       11.4281873468,       44.5555398873,        0.2333659054,
       11.4314868658,       44.5603128170,        0.2342273552,
       11.3782892007,       44.5665613390,        0.2688545472,
       11.3720120316,       44.5667240486,        0.2728935383,
       11.3749940672,       44.5617976472,        0.2674053702,
       11.4192526691,       44.5703198346,        0.2467213312,
       11.4255299320,       44.5701541111,        0.2430161976,
       11.4225510585,       44.5750662968,        0.2475989248,
       11.4099956101,       44.5753962914,        0.2553254253,
       11.4162733560,       44.5752315134,        0.2514298774,
       11.4132936464,       44.5801337270,        0.2562732301,
       11.5980888869,       44.7481228787,        0.2018731790,
       11.5982897711,       44.7532480770,        0.2024706487,
       11.5927461196,       44.7508289218,        0.2052771877,
       11.6077683427,       44.7167948822,        0.1918435143,
       11.6133092348,       44.7192467754,        0.1894640466,
       11.6079693799,       44.7219952567,        0.1926001972,
       11.6135111191,       44.7244509949,        0.1901830276,
       11.6081708685,       44.7271920957,        0.1933272416,
       11.3779757060,       44.5568619490,        0.2620833877,
       11.5978880495,       44.7429833928,        0.2012381304,
       11.5976872590,       44.7378296712,        0.2005663365,
       11.6032312397,       44.7402655674,        0.1979203638,
       11.3125250886,       44.5730701614,        0.3185611040,
       11.3062470609,       44.5732279869,        0.3232239384,
       11.3092342391,       44.5683270800,        0.3159398345,
       11.5763133151,       44.7486987981,        0.2146941322,
       11.5761141564,       44.7435608246,        0.2139653300,
       11.5816578819,       44.7459904600,        0.2110254232,
       11.3002722252,       44.5830238509,        0.3386133164,
       11.2939932785,       44.5831802505,        0.3436906349,
       11.2969813340,       44.5782875569,        0.3356623600,
       11.3475212158,       44.5866333491,        0.3061694595,
       11.3445363174,       44.5915114104,        0.3129623211,
       11.3412421646,       44.5867927432,        0.3110380250,
       11.3370213787,       44.5530654238,        0.2342320941,
       11.6095826060,       44.7631729935,        0.1974732872,
       11.6149256285,       44.7604843578,        0.1943116141,
       11.6097840656,       44.7682455956,        0.1979209755,
       11.6151274837,       44.7655645467,        0.1947626087,
       11.6099859777,       44.7733139379,        0.1983317089,
       11.6153297923,       44.7706405161,        0.1951781448,
       11.2524322602,       44.5600437803,        0.2749931994,
       11.2554213624,       44.5551199049,        0.2696359854,
       11.2587093834,       44.5598888803,        0.2722068648,
       11.3089286774,       44.5586337532,        0.2495949674,
       11.3059422116,       44.5635640274,        0.2542680328,
       11.3026518817,       44.5587921722,        0.2524217285,
       11.3524254674,       45.0537118104,        0.2970189404,
       11.3494210646,       45.0573558104,        0.2948467472,
       11.3460995047,       45.0538320883,        0.3013583992,
       11.3457845194,       45.0466391692,        0.3103700697,
       11.3521096278,       45.0465181649,        0.3057368697,
       11.3491055878,       45.0501851624,        0.3035766037,
       11.3217906366,       44.5680099740,        0.3069964125,
       11.3188043341,       44.5729118660,        0.3139327482,
       11.3155118290,       44.5681687624,        0.3114519647,
       11.3864206415,       45.0349607243,        0.2923796008,
       11.3830993909,       45.0313687478,        0.2986155357,
       11.4023914667,       45.0382929797,        0.2774162669,
       11.3993897377,       45.0419789901,        0.2761509500,
       11.3960675600,       45.0384174366,        0.2818410800,
       11.6126147219,       44.8378555217,        0.2000442819,
       11.6181666686,       44.8401524743,        0.1969583067,
       11.6128172950,       44.8427168670,        0.1998907752,
       11.5967639745,       44.8503833765,        0.2090387334,
       11.5965625955,       44.8455458054,        0.2092764127,
       11.6021146837,       44.8478323523,        0.2059307167,
       11.4186889289,       45.0488375995,        0.2573605488,
       11.4156877791,       45.0524904258,        0.2562195568,
       11.4123625825,       45.0489618104,        0.2612813135,
       11.6134252980,       44.8572105125,        0.1991881007,
       11.6189790259,       44.8594789031,        0.1960530586,
       11.6136280604,       44.8620115080,        0.1988742208,
       11.4346653607,       45.0521174440,        0.2450251167,
       11.4316655342,       45.0557684592,        0.2440285814,
       11.3873811657,       45.0566302349,        0.2703831570,
       11.3903828717,       45.0529830306,        0.2719248543,
       11.6144391761,       44.8810542462,        0.1972330040,
       11.6199951320,       44.8832866936,        0.1940702229,
       11.6146421754,       44.8857792954,        0.1967285831,
       11.6201985773,       44.8880045230,        0.1935647132,
       11.6148452221,       44.8904890896,        0.1961878287,
       11.6150483163,       44.8951836117,        0.1956114369,
       11.6204020702,       44.8927070893,        0.1930243339,
       11.4190138037,       45.0560163475,        0.2512973139,
       11.6154546470,       44.9045267777,        0.1943547153,
       11.6152514579,       44.8998628459,        0.1950001423,
       11.6208091987,       44.9020663681,        0.1918417227,
       11.6156578836,       44.9091753938,        0.1936759598,
       11.6210124254,       44.9067137160,        0.1912022744,
       11.4909290984,       45.0365145802,        0.2228484257,
       11.4942573346,       45.0400792631,        0.2190910205,
       11.6160640910,       44.9184173739,        0.1922233552,
       11.6158607595,       44.9137993936,        0.1929661712,
       11.6214198392,       44.9159811682,        0.1898258394,
       11.5039117219,       45.0435121221,        0.2122326121,
       11.5009172062,       45.0471922379,        0.2118363887,
       11.4975876797,       45.0436412708,        0.2154191434,
       11.6162674700,       44.9230200059,        0.1914497974,
       11.6216236175,       44.9205918845,        0.1890917503,
       11.6218274435,       44.9251872486,        0.1883282174,
       11.6164708966,       44.9276072812,        0.1906464108,
       11.6166743708,       44.9321791927,        0.1898141293,
       11.6220313171,       44.9297672526,        0.1875361211,
       11.5102357183,       45.0433826329,        0.2091045591,
       11.5072416528,       45.0470633073,        0.2087438876,
       11.6168778925,       44.9367357344,        0.1889539054,
       11.6222352384,       44.9343318898,        0.1867163608,
       11.5135673222,       45.0469340110,        0.2057065378,
       11.5105716401,       45.0505951126,        0.2053420128,
       11.6172850788,       44.9458026909,        0.1871535164,
       11.6170814618,       44.9412769016,        0.1880667073,
       11.6226432241,       44.9434150443,        0.1849975281,
       11.5168977129,       45.0504660349,        0.2023925434,
       11.5139037396,       45.0541242180,        0.2020153269,
       11.5232224709,       45.0503366443,        0.1994961940,
       11.5202289481,       45.0539953861,        0.1991512902,
       11.6197917342,       44.8785536187,        0.1945402204,
       11.4885999083,       45.0546362203,        0.2139855380,
       11.6230509906,       44.9524276570,        0.1831810800,
       11.6176920464,       44.9547991174,        0.1852550892,
       11.3810537449,       45.0567520193,        0.2743500953,
       11.3840571695,       45.0531053272,        0.2759846021,
       11.6178958061,       44.9592787955,        0.1842699500,
