E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.442000,            0.378000,            0.409000,
       632624.900000,      4992041.000000,            1.115000,            0.414000,            0.679000,
       632953.500000,      4992215.000000,            1.487000,            1.867000,            1.666000,
       633123.400000,      4941256.000000,            0.402000,            0.484000,            0.441000,
       632952.100000,      4941581.000000,            0.931000,            0.922000,            0.926000,
       632624.900000,      4941256.000000,            0.533000,            0.498000,            0.515000,
       706906.700000,      4941754.000000,            1.478000,            0.164000,            0.492000,
       706578.100000,      4941580.000000,            0.629000,            0.343000,            0.464000,
       706906.700000,      4941256.000000,            0.172000,            0.229000,            0.198000,
       633487.400000,      4970631.000000,            1.025000,            1.517000,            1.247000,
       633487.400000,      4971129.000000,            1.278000,            1.316000,            1.297000,
       633056.200000,      4970880.000000,            0.856000,            0.992000,            0.921000,
       632624.900000,      4990548.000000,            0.556000,            0.644000,            0.599000,
       633071.000000,      4990807.000000,            1.892000,            2.457000,            2.156000,
       632624.900000,      4991045.000000,            0.516000,            0.784000,            0.636000,
       636075.100000,      4969635.000000,            0.718000,            1.530000,            1.049000,
       636075.100000,      4970132.000000,            0.910000,            1.946000,            1.331000,
       635643.800000,      4969884.000000,            0.704000,            1.514000,            1.032000,
       633505.000000,      4990053.000000,            1.340000,            1.390000,            1.365000,
       633954.400000,      4990293.000000,            4.159000,            2.121000,            2.970000,
       633524.500000,      4990561.000000,            2.808000,            3.331000,            3.058000,
       661041.600000,      4991676.000000,            1.042000,            3.778000,            1.984000,
       660792.300000,      4992107.000000,            1.188000,            4.346000,            2.272000,
       660543.100000,      4991676.000000,            0.876000,            3.502000,            1.751000,
       634868.600000,      4992108.000000,            4.198000,            2.884000,            3.480000,
       634368.900000,      4992108.000000,            3.012000,            3.430000,            3.214000,
       634614.500000,      4991680.000000,            2.933000,            2.290000,            2.592000,
       633056.200000,      4971876.000000,            1.387000,            1.122000,            1.247000,
       633056.200000,      4972374.000000,            0.984000,            1.385000,            1.167000,
       632624.900000,      4972125.000000,            0.584000,            1.091000,            0.798000,
       632624.900000,      4987062.000000,            1.273000,            0.617000,            0.886000,
       633056.200000,      4987311.000000,            1.392000,            1.237000,            1.312000,
       632624.900000,      4987560.000000,            0.942000,            0.558000,            0.725000,
       636364.100000,      4992107.000000,            6.571000,            1.143000,            2.740000,
       635865.500000,      4992107.000000,            4.890000,            1.138000,            2.359000,
       636114.900000,      4991676.000000,            1.612000,            0.800000,            1.136000,
       657303.200000,      4989517.000000,            3.329000,            2.161000,            2.682000,
       657801.700000,      4989517.000000,            3.142000,            1.938000,            2.468000,
       657552.300000,      4989949.000000,            3.359000,            2.082000,            2.644000,
       634781.100000,      4985816.000000,            2.054000,            1.991000,            2.022000,
       635212.200000,      4986065.000000,            2.249000,            3.729000,            2.896000,
       634781.000000,      4986314.000000,            2.351000,            2.573000,            2.459000,
       637361.100000,      4992107.000000,            2.738000,            1.485000,            2.017000,
       637610.500000,      4991676.000000,            2.549000,            1.110000,            1.682000,
       637859.700000,      4992107.000000,            1.718000,            1.781000,            1.749000,
       638358.200000,      4992107.000000,            1.627000,            2.615000,            2.063000,
       638109.100000,      4991676.000000,            1.780000,            1.230000,            1.480000,
       638607.600000,      4991676.000000,            2.165000,            1.529000,            1.820000,
       638856.700000,      4992107.000000,            1.006000,            3.832000,            1.964000,
       633487.400000,      4975112.000000,            1.016000,            1.931000,            1.401000,
       633487.400000,      4975610.000000,            0.805000,            1.475000,            1.090000,
       633056.200000,      4975362.000000,            2.042000,            1.734000,            1.882000,
       650323.000000,      4992107.000000,            2.113000,            2.927000,            2.487000,
       649824.500000,      4992107.000000,            2.176000,            3.115000,            2.603000,
       650073.900000,      4991676.000000,            2.154000,            2.925000,            2.510000,
       643343.800000,      4991244.000000,            2.171000,            2.093000,            2.131000,
       643094.400000,      4991676.000000,            2.421000,            2.971000,            2.682000,
       642845.200000,      4991244.000000,            1.927000,            2.257000,            2.086000,
       640103.500000,      4990812.000000,            2.660000,            1.484000,            1.987000,
       640352.900000,      4990381.000000,            3.332000,            1.771000,            2.429000,
       640602.000000,      4990812.000000,            1.928000,            1.553000,            1.731000,
       641349.400000,      4992107.000000,            1.767000,            3.497000,            2.486000,
       641598.800000,      4991676.000000,            2.514000,            2.453000,            2.483000,
       641847.900000,      4992107.000000,            1.824000,            2.951000,            2.320000,
       632624.900000,      4974117.000000,            0.353000,            0.845000,            0.546000,
       633056.200000,      4974366.000000,            1.888000,            2.153000,            2.016000,
       632624.900000,      4974615.000000,            0.440000,            1.214000,            0.731000,
       633487.400000,      4983079.000000,            1.117000,            1.231000,            1.173000,
       633056.200000,      4982830.000000,            1.177000,            1.027000,            1.099000,
       633487.400000,      4982581.000000,            1.472000,            0.800000,            1.085000,
