E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       633487.400000,      4973121.000000,            0.710000,            3.723000,            1.626000,
       633487.400000,      4976108.000000,            1.233000,            1.160000,            1.196000,
       633487.400000,      4976606.000000,            2.359000,            1.620000,            1.955000,
       633056.200000,      4976357.000000,            1.810000,            1.249000,            1.503000,
       634349.900000,      4975112.000000,            0.990000,            1.704000,            1.299000,
       634349.900000,      4975610.000000,            1.517000,            1.767000,            1.637000,
       633918.700000,      4975361.000000,            0.993000,            1.805000,            1.339000,
       635212.500000,      4973120.000000,            1.158000,            3.246000,            1.939000,
       635212.500000,      4973618.000000,            1.257000,            2.334000,            1.713000,
       634781.200000,      4973369.000000,            1.157000,            2.866000,            1.821000,
       654809.800000,      4992107.000000,            2.825000,            4.162000,            3.429000,
       655059.200000,      4991676.000000,            2.297000,            3.826000,            2.965000,
       655308.400000,      4992107.000000,            2.892000,            4.276000,            3.517000,
       662288.100000,      4991244.000000,            0.672000,            4.661000,            1.770000,
       662786.600000,      4991244.000000,            0.748000,            4.668000,            1.869000,
       662537.200000,      4991676.000000,            1.359000,            5.592000,            2.757000,
       633918.700000,      4970382.000000,            0.771000,            0.710000,            0.740000,
       633918.700000,      4970880.000000,            0.909000,            0.773000,            0.838000,
       655557.700000,      4991676.000000,            2.160000,            3.466000,            2.736000,
       655806.900000,      4992107.000000,            3.213000,            4.847000,            3.947000,
       655558.200000,      4989949.000000,            2.374000,            2.716000,            2.539000,
       655807.600000,      4989517.000000,            3.158000,            3.080000,            3.119000,
       656056.700000,      4989949.000000,            2.646000,            2.789000,            2.717000,
       663783.500000,      4992107.000000,            0.826000,            5.463000,            2.125000,
       663534.100000,      4992539.000000,            0.102000,            1.003000,            0.320000,
       663284.900000,      4992107.000000,            0.817000,            6.976000,            2.388000,
       662537.000000,      4941256.000000,            0.345000,            0.218000,            0.274000,
       663035.600000,      4941256.000000,            0.127000,            0.363000,            0.215000,
       662786.200000,      4941687.000000,            1.374000,            2.168000,            1.726000,
       665279.100000,      4992107.000000,            1.332000,            4.296000,            2.392000,
       665029.700000,      4992539.000000,            0.235000,            0.676000,            0.399000,
       664780.600000,      4992107.000000,            1.217000,            4.672000,            2.385000,
       663034.200000,      4946436.000000,            0.282000,            0.756000,            0.462000,
       662784.700000,      4946868.000000,            0.298000,            1.214000,            0.601000,
       662535.600000,      4946436.000000,            0.277000,            0.999000,            0.526000,
       666774.700000,      4992107.000000,            1.894000,            3.495000,            2.573000,
       666525.300000,      4992539.000000,            0.157000,            0.893000,            0.374000,
       666276.200000,      4992107.000000,            1.587000,            4.457000,            2.660000,
       661042.600000,      4988222.000000,            3.498000,            7.123000,            4.992000,
       661291.900000,      4987791.000000,            2.845000,            8.050000,            4.786000,
       661541.100000,      4988222.000000,            2.435000,            7.191000,            4.185000,
       668270.300000,      4992107.000000,            2.333000,            2.763000,            2.539000,
       668020.900000,      4992539.000000,            0.097000,            0.903000,            0.295000,
       667771.800000,      4992107.000000,            2.164000,            3.061000,            2.574000,
       662538.200000,      4988222.000000,            1.274000,            6.901000,            2.965000,
       662787.600000,      4987791.000000,            1.334000,            8.873000,            3.440000,
       663036.700000,      4988222.000000,            0.918000,            6.204000,            2.386000,
       669765.900000,      4992107.000000,            2.854000,            2.306000,            2.565000,
       669516.500000,      4992539.000000,            0.111000,            0.802000,            0.298000,
       669267.400000,      4992107.000000,            2.248000,            2.575000,            2.406000,
       664033.800000,      4988222.000000,            0.885000,            4.925000,            2.088000,
       664283.200000,      4987791.000000,            0.961000,            6.053000,            2.412000,
       664532.300000,      4988222.000000,            0.825000,            4.589000,            1.946000,
       671261.500000,      4992107.000000,            1.974000,            2.295000,            2.128000,
       671012.200000,      4992539.000000,            0.100000,            0.711000,            0.266000,
       670763.000000,      4992107.000000,            2.092000,            2.238000,            2.164000,
       665529.400000,      4988222.000000,            1.017000,            3.805000,            1.968000,
       665778.800000,      4987791.000000,            0.945000,            4.512000,            2.064000,
       666027.900000,      4988222.000000,            0.656000,            3.485000,            1.512000,
       672757.100000,      4992107.000000,            1.700000,            2.150000,            1.912000,
       672507.800000,      4992539.000000,            0.157000,            0.770000,            0.347000,
       672258.600000,      4992107.000000,            1.686000,            2.172000,            1.914000,
       667025.000000,      4988222.000000,            0.859000,            4.337000,            1.930000,
       667274.400000,      4987791.000000,            1.019000,            4.809000,            2.214000,
       667523.500000,      4988222.000000,            1.327000,            4.253000,            2.375000,
       674252.700000,      4992107.000000,            1.241000,            2.479000,            1.754000,
       674003.400000,      4992539.000000,            0.482000,            0.957000,            0.679000,
       673754.200000,      4992107.000000,            1.754000,            2.085000,            1.912000,
       668520.600000,      4988222.000000,            1.472000,            4.414000,            2.549000,
       668770.000000,      4987791.000000,            1.396000,            5.536000,            2.780000,
       669019.100000,      4988222.000000,            1.681000,            3.836000,            2.539000,
       675748.300000,      4992107.000000,            1.107000,            2.830000,            1.770000,
       675499.000000,      4992539.000000,            0.199000,            1.083000,            0.465000,
       675249.800000,      4992107.000000,            1.240000,            2.655000,            1.814000,
       670016.200000,      4988222.000000,            1.063000,            3.413000,            1.905000,
