E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       633056.200000,      4982830.000000,            0.424000,            0.460000,            0.442000,            0.046000,            0.624000,
       633487.400000,      4982581.000000,            0.530000,            0.508000,            0.519000,            0.009000,            0.734000,
       643842.100000,      4992107.000000,            0.788000,            0.703000,            0.744000,            1.052000,            0.095000,
       643343.500000,      4992107.000000,            0.514000,            0.578000,            0.545000,            0.773000,            0.020000,
       643592.900000,      4991676.000000,            0.679000,            0.634000,            0.656000,            0.001000,            0.929000,
       644590.200000,      4990812.000000,            0.644000,            0.535000,            0.587000,            0.049000,            0.836000,
       644091.700000,      4990812.000000,            0.676000,            0.691000,            0.684000,            0.043000,            0.966000,
       644341.100000,      4990381.000000,            0.732000,            0.770000,            0.751000,            0.062000,            1.061000,
       645337.700000,      4992107.000000,            0.616000,            0.572000,            0.593000,            0.838000,            0.059000,
       644839.100000,      4992107.000000,            0.540000,            0.576000,            0.557000,            0.789000,            0.001000,
       645088.500000,      4991676.000000,            0.538000,            0.900000,            0.696000,            1.025000,            0.222000,
       633056.200000,      4980838.000000,            0.467000,            0.582000,            0.521000,            0.744000,            0.056000,
       632624.900000,      4980590.000000,            0.531000,            0.562000,            0.546000,            0.048000,            0.772000,
       633056.200000,      4980340.000000,            0.559000,            0.525000,            0.542000,            0.001000,            0.767000,
       632624.900000,      4975611.000000,            0.448000,            0.543000,            0.493000,            0.090000,            0.698000,
       632624.900000,      4975113.000000,            0.529000,            0.498000,            0.513000,            0.002000,            0.727000,
       650821.800000,      4991244.000000,            0.942000,            0.634000,            0.773000,            0.180000,            1.121000,
       651320.300000,      4991244.000000,            0.715000,            0.708000,            0.712000,            0.028000,            1.006000,
       651070.900000,      4991676.000000,            0.696000,            0.524000,            0.604000,            0.093000,            0.866000,
       648329.300000,      4990381.000000,            0.832000,            0.803000,            0.817000,            1.155000,            0.059000,
       647830.800000,      4990381.000000,            0.549000,            0.702000,            0.621000,            0.137000,            0.881000,
       648080.200000,      4989949.000000,            0.762000,            0.606000,            0.680000,            0.964000,            0.142000,
       633056.200000,      4973370.000000,            0.657000,            0.662000,            0.660000,            0.035000,            0.932000,
       633056.200000,      4972872.000000,            0.466000,            0.479000,            0.472000,            0.031000,            0.667000,
       633487.400000,      4973121.000000,            0.513000,            0.605000,            0.557000,            0.792000,            0.039000,
       633487.400000,      4976108.000000,            0.603000,            0.556000,            0.579000,            0.006000,            0.820000,
       633487.400000,      4976606.000000,            0.568000,            0.539000,            0.553000,            0.781000,            0.046000,
       633056.200000,      4976357.000000,            0.459000,            0.778000,            0.598000,            0.254000,            0.867000,
       634349.900000,      4975112.000000,            0.729000,            0.607000,            0.665000,            0.055000,            0.947000,
       634349.900000,      4975610.000000,            0.497000,            0.558000,            0.526000,            0.068000,            0.744000,
       633918.700000,      4975361.000000,            0.532000,            0.576000,            0.554000,            0.784000,            0.005000,
       635212.500000,      4973120.000000,            0.638000,            0.545000,            0.590000,            0.038000,            0.838000,
       635212.500000,      4973618.000000,            0.608000,            0.535000,            0.570000,            0.025000,            0.810000,
       634781.200000,      4973369.000000,            0.623000,            0.607000,            0.615000,            0.017000,            0.870000,
       654809.800000,      4992107.000000,            0.677000,            0.710000,            0.693000,            0.056000,            0.980000,
       655059.200000,      4991676.000000,            0.837000,            0.928000,            0.881000,            1.249000,            0.023000,
       655308.400000,      4992107.000000,            0.722000,            0.741000,            0.731000,            0.048000,            1.033000,
       662288.100000,      4991244.000000,            0.890000,            0.800000,            0.844000,            0.024000,            1.197000,
       662786.600000,      4991244.000000,            0.740000,            0.870000,            0.802000,            1.141000,            0.054000,
       662537.200000,      4991676.000000,            0.917000,            0.601000,            0.742000,            0.188000,            1.080000,
       633918.700000,      4970382.000000,            0.497000,            0.636000,            0.562000,            0.125000,            0.798000,
       633918.700000,      4970880.000000,            0.520000,            0.537000,            0.529000,            0.037000,            0.747000,
       655557.700000,      4991676.000000,            0.761000,            1.105000,            0.917000,            1.327000,            0.199000,
       655806.900000,      4992107.000000,            0.669000,            0.616000,            0.642000,            0.907000,            0.068000,
       655558.200000,      4989949.000000,            0.679000,            0.800000,            0.737000,            1.048000,            0.051000,
       655807.600000,      4989517.000000,            0.965000,            0.782000,            0.868000,            0.088000,            1.238000,
       656056.700000,      4989949.000000,            1.016000,            1.028000,            1.022000,            1.444000,            0.040000,
       663783.500000,      4992107.000000,            0.835000,            0.708000,            0.769000,            0.054000,            1.094000,
       663534.100000,      4992539.000000,            0.730000,            0.742000,            0.736000,            1.041000,            0.026000,
       663284.900000,      4992107.000000,            0.987000,            0.761000,            0.867000,            1.230000,            0.201000,
       662537.000000,      4941256.000000,            0.583000,            0.665000,            0.623000,            0.884000,            0.028000,
       663035.600000,      4941256.000000,            0.603000,            0.640000,            0.621000,            0.879000,            0.003000,
       662786.200000,      4941687.000000,            0.535000,            0.626000,            0.579000,            0.823000,            0.038000,
       665279.100000,      4992107.000000,            0.614000,            0.590000,            0.602000,            0.850000,            0.046000,
       665029.700000,      4992539.000000,            0.689000,            0.566000,            0.625000,            0.885000,            0.116000,
       664780.600000,      4992107.000000,            0.663000,            0.698000,            0.680000,            0.057000,            0.961000,
       663034.200000,      4946436.000000,            0.655000,            0.995000,            0.808000,            0.279000,            1.159000,
       662784.700000,      4946868.000000,            0.797000,            0.787000,            0.792000,            1.119000,            0.044000,
       662535.600000,      4946436.000000,            0.720000,            0.830000,            0.773000,            0.114000,            1.093000,
       666774.700000,      4992107.000000,            0.807000,            0.662000,            0.731000,            0.068000,            1.042000,
       666525.300000,      4992539.000000,            0.791000,            0.649000,            0.717000,            0.067000,            1.022000,
       666276.200000,      4992107.000000,            0.648000,            0.734000,            0.690000,            0.979000,            0.028000,
       661042.600000,      4988222.000000,            0.881000,            0.917000,            0.899000,            0.068000,            1.270000,
       661291.900000,      4987791.000000,            0.946000,            0.938000,            0.942000,            1.331000,            0.050000,
       661541.100000,      4988222.000000,            0.896000,            0.836000,            0.865000,            1.222000,            0.083000,
       668270.300000,      4992107.000000,            0.704000,            0.648000,            0.675000,            0.954000,            0.072000,
       668020.900000,      4992539.000000,            0.738000,            0.782000,            0.760000,            1.076000,            0.005000,
       667771.800000,      4992107.000000,            0.732000,            0.638000,            0.683000,            0.966000,            0.099000,
       662538.200000,      4988222.000000,            0.767000,            1.030000,            0.889000,            0.228000,            1.264000,
       662787.600000,      4987791.000000,            0.975000,            0.827000,            0.898000,            1.270000,            0.147000,
       663036.700000,      4988222.000000,            0.892000,            0.979000,            0.935000,            0.106000,            1.320000,
       669765.900000,      4992107.000000,            0.750000,            0.869000,            0.807000,            1.147000,            0.046000,
       669516.500000,      4992539.000000,            0.560000,            0.569000,            0.565000,            0.798000,            0.020000,
       669267.400000,      4992107.000000,            0.694000,            0.965000,            0.819000,            1.179000,            0.153000,
       664033.800000,      4988222.000000,            1.005000,            0.820000,            0.908000,            1.285000,            0.174000,
       664283.200000,      4987791.000000,            0.922000,            1.135000,            1.023000,            0.199000,            1.449000,
       664532.300000,      4988222.000000,            0.763000,            0.920000,            0.838000,            0.151000,            1.186000,
       671261.500000,      4992107.000000,            0.652000,            0.664000,            0.658000,            0.039000,            0.930000,
       671012.200000,      4992539.000000,            0.744000,            0.831000,            0.786000,            0.098000,            1.110000,
       670763.000000,      4992107.000000,            0.600000,            0.768000,            0.679000,            0.970000,            0.087000,
       665529.400000,      4988222.000000,            0.832000,            0.981000,            0.903000,            1.284000,            0.063000,
       665778.800000,      4987791.000000,            0.781000,            0.938000,            0.856000,            1.218000,            0.071000,
       666027.900000,      4988222.000000,            0.876000,            1.062000,            0.965000,            0.177000,            1.365000,
       672757.100000,      4992107.000000,            0.754000,            0.863000,            0.806000,            0.115000,            1.140000,
       672507.800000,      4992539.000000,            0.673000,            0.727000,            0.700000,            0.991000,            0.006000,
       672258.600000,      4992107.000000,            0.635000,            0.771000,            0.700000,            0.129000,            0.990000,
       667025.000000,      4988222.000000,            1.139000,            0.798000,            0.953000,            1.361000,            0.286000,
       667274.400000,      4987791.000000,            1.008000,            0.886000,            0.945000,            1.336000,            0.131000,
       667523.500000,      4988222.000000,            0.942000,            0.859000,            0.899000,            1.271000,            0.101000,
       674252.700000,      4992107.000000,            0.621000,            0.827000,            0.716000,            0.180000,            1.018000,
       674003.400000,      4992539.000000,            0.770000,            0.730000,            0.750000,            1.059000,            0.063000,
       673754.200000,      4992107.000000,            0.749000,            0.727000,            0.738000,            0.019000,            1.044000,
       668520.600000,      4988222.000000,            0.781000,            0.865000,            0.822000,            0.098000,            1.162000,
       668770.000000,      4987791.000000,            0.963000,            1.126000,            1.041000,            1.480000,            0.066000,
       669019.100000,      4988222.000000,            0.883000,            0.963000,            0.922000,            1.306000,            0.013000,
       675748.300000,      4992107.000000,            0.748000,            0.894000,            0.818000,            1.164000,            0.065000,
       675499.000000,      4992539.000000,            0.600000,            0.627000,            0.614000,            0.048000,            0.867000,
       675249.800000,      4992107.000000,            0.547000,            0.817000,            0.669000,            0.223000,            0.958000,
       670016.200000,      4988222.000000,            0.922000,            0.845000,            0.883000,            0.013000,            1.251000,
       670265.600000,      4987791.000000,            0.800000,            0.815000,            0.808000,            1.142000,            0.027000,
       670514.700000,      4988222.000000,            0.987000,            1.039000,            1.013000,            0.084000,            1.431000,
       677243.900000,      4992107.000000,            0.616000,            0.533000,            0.573000,            0.810000,            0.086000,
       676994.600000,      4992539.000000,            0.829000,            0.578000,            0.693000,            0.145000,            1.001000,
       676745.400000,      4992107.000000,            0.660000,            0.630000,            0.645000,            0.911000,            0.051000,
       671511.800000,      4988222.000000,            0.862000,            0.911000,            0.886000,            0.077000,            1.252000,
       671761.200000,      4987791.000000,            0.927000,            1.178000,            1.045000,            0.227000,            1.482000,
       672010.300000,      4988222.000000,            0.685000,            0.806000,            0.743000,            1.056000,            0.051000,
       678739.600000,      4992107.000000,            0.678000,            0.541000,            0.606000,            0.858000,            0.125000,
       678490.200000,      4992539.000000,            0.655000,            0.580000,            0.616000,            0.024000,            0.874000,
       678241.000000,      4992107.000000,            0.790000,            0.798000,            0.794000,            1.123000,            0.031000,
       677493.100000,      4941256.000000,            0.516000,            0.594000,            0.554000,            0.081000,            0.783000,
       677991.700000,      4941256.000000,            0.629000,            0.531000,            0.578000,            0.043000,            0.822000,
       677742.300000,      4941687.000000,            0.683000,            0.778000,            0.729000,            1.035000,            0.033000,
       676993.200000,      4946436.000000,            0.888000,            0.801000,            0.844000,            0.022000,            1.196000,
       676743.800000,      4946868.000000,            0.639000,            0.612000,            0.626000,            0.884000,            0.048000,
       676494.700000,      4946436.000000,            0.680000,            0.805000,            0.739000,            0.123000,            1.046000,
       674502.800000,      4989086.000000,            0.710000,            0.890000,            0.795000,            0.165000,            1.126000,
       674752.200000,      4988654.000000,            0.773000,            0.774000,            0.773000,            0.037000,            1.093000,
       675001.300000,      4989086.000000,            0.647000,            0.834000,            0.735000,            0.167000,            1.042000,
       681232.200000,      4992107.000000,            0.612000,            0.657000,            0.634000,            0.061000,            0.896000,
       681730.800000,      4992107.000000,            0.567000,            0.564000,            0.566000,            0.799000,            0.028000,
       681481.400000,      4992539.000000,            0.469000,            0.727000,            0.584000,            0.852000,            0.154000,
       675998.700000,      4988222.000000,            0.799000,            0.710000,            0.753000,            1.064000,            0.099000,
       676248.100000,      4987791.000000,            0.851000,            0.692000,            0.767000,            1.087000,            0.148000,
       676497.200000,      4988222.000000,            0.691000,            0.789000,            0.738000,            1.048000,            0.035000,
       683226.400000,      4992107.000000,            0.524000,            0.595000,            0.558000,            0.077000,            0.789000,
       682977.000000,      4992539.000000,            0.727000,            0.535000,            0.623000,            0.887000,            0.165000,
       682727.800000,      4992107.000000,            0.569000,            0.510000,            0.539000,            0.017000,            0.764000,
       677494.300000,      4988222.000000,            0.656000,            0.799000,            0.724000,            1.032000,            0.067000,
       677743.700000,      4987791.000000,            0.774000,            0.677000,            0.724000,            0.034000,            1.028000,
       677992.800000,      4988222.000000,            0.823000,            0.631000,            0.721000,            1.023000,            0.170000,
       705612.900000,      4963910.000000,            0.423000,            0.432000,            0.428000,            0.605000,            0.014000,
       705612.900000,      4963412.000000,            0.363000,            0.463000,            0.410000,            0.090000,            0.582000,
       706044.200000,      4963661.000000,            0.460000,            0.352000,            0.403000,            0.572000,            0.095000,
