E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       633056.200000,      4982830.000000,            0.034000,            0.044000,            0.038000,            0.009000,            0.055000,
       633487.400000,      4982581.000000,            0.029000,            0.050000,            0.038000,            0.056000,            0.013000,
       643842.100000,      4992107.000000,            0.060000,            0.052000,            0.056000,            0.079000,            0.009000,
       643343.500000,      4992107.000000,            0.066000,            0.045000,            0.054000,            0.078000,            0.018000,
       643592.900000,      4991676.000000,            0.050000,            0.048000,            0.049000,            0.001000,            0.069000,
       644590.200000,      4990812.000000,            0.046000,            0.054000,            0.050000,            0.008000,            0.071000,
       644091.700000,      4990812.000000,            0.050000,            0.053000,            0.051000,            0.004000,            0.073000,
       644341.100000,      4990381.000000,            0.047000,            0.061000,            0.053000,            0.013000,            0.076000,
       645337.700000,      4992107.000000,            0.051000,            0.048000,            0.050000,            0.070000,            0.005000,
       644839.100000,      4992107.000000,            0.051000,            0.043000,            0.047000,            0.066000,            0.008000,
       645088.500000,      4991676.000000,            0.069000,            0.066000,            0.067000,            0.095000,            0.005000,
       633056.200000,      4980838.000000,            0.034000,            0.037000,            0.036000,            0.050000,            0.000000,
       632624.900000,      4980590.000000,            0.026000,            0.025000,            0.026000,            0.036000,            0.002000,
       633056.200000,      4980340.000000,            0.037000,            0.054000,            0.045000,            0.014000,            0.064000,
       632624.900000,      4975611.000000,            0.022000,            0.026000,            0.024000,            0.004000,            0.034000,
       632624.900000,      4975113.000000,            0.024000,            0.023000,            0.023000,            0.033000,            0.002000,
       650821.800000,      4991244.000000,            0.058000,            0.061000,            0.060000,            0.084000,            0.000000,
       651320.300000,      4991244.000000,            0.054000,            0.065000,            0.059000,            0.085000,            0.005000,
       651070.900000,      4991676.000000,            0.068000,            0.062000,            0.065000,            0.091000,            0.007000,
       648329.300000,      4990381.000000,            0.067000,            0.064000,            0.066000,            0.001000,            0.093000,
       647830.800000,      4990381.000000,            0.054000,            0.064000,            0.059000,            0.010000,            0.084000,
       648080.200000,      4989949.000000,            0.062000,            0.075000,            0.068000,            0.013000,            0.096000,
       633056.200000,      4973370.000000,            0.038000,            0.046000,            0.042000,            0.059000,            0.004000,
       633056.200000,      4972872.000000,            0.032000,            0.046000,            0.038000,            0.056000,            0.009000,
